padecimiento,entidad,sexo,motor_productivo,criterio_seleccion,motores_evaluados,smape_prophet,mase_prophet,smape_ensemble,mase_ensemble,smape_stacking,mase_stacking
Obesidad,Aguascalientes,general,Stacking,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",46.63465197457217,0.9900974172992824,25.176516946442657,0.5999234777019053,25.54988778994686,0.5936126553956584
Obesidad,Aguascalientes,hombres,Stacking,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",42.83960897020298,0.9434223462313152,31.91393285800297,0.7314396451464015,28.21703160084972,0.6758969557034211
Obesidad,Aguascalientes,mujeres,Ensemble,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",44.869045274344174,0.9175876726889254,22.964213000778223,0.5143693482247917,25.650117980608055,0.5662720369958257
Obesidad,Baja California,general,Prophet,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",26.51501866766403,0.8045986668097058,44.63785791241521,2.386727404108297,72.1162070958308,3.224421399441096
Obesidad,Baja California,hombres,Prophet,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",25.28258745766697,0.7696018258502044,46.948047278064635,2.3412779363688294,62.01226818808641,2.7741240164363328
Obesidad,Baja California,mujeres,Prophet,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",26.87979565679065,0.7987012170590633,42.41556013290196,2.3182511950015083,69.39483436115239,3.1723158039613644
Obesidad,Baja California Sur,general,Ensemble,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",41.91330662446457,1.1669342275739785,33.443800188405206,0.7071891601791476,51.12985911855923,0.9685448188081408
Obesidad,Baja California Sur,hombres,Ensemble,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",41.61046565478209,1.191220827040886,23.131665801567568,0.5042047545841211,43.209292711477595,0.8297182382478865
Obesidad,Baja California Sur,mujeres,Ensemble,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",42.54281451565016,1.0927683128515768,26.212333823531925,0.5684328423267729,59.762624443549726,1.0584791383793664
Obesidad,Campeche,general,Ensemble,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",46.55040800253586,1.114419282685258,31.388302384395654,1.3830009862871742,39.05378737113849,1.6469620143828343
Obesidad,Campeche,hombres,Ensemble,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",40.58401916572153,0.901593463142352,36.30971797318045,1.3953125217106734,39.56361971991208,1.4899583669033305
