padecimiento,sexo,rmse,mae,mape,mase,mape_confiable,seasonality_mode,changepoint_prior_scale,seasonality_prior_scale,nivel,confianza,promedio_semanal,tiempo_cv_seg,tiempo_train_seg,tiempo_total_seg,poblacion,normalizado,archivo_modelo,usar_regional,Entidad
Alzheimer,incrementos_hombres,0.009445698089767049,0.007842304321312835,999.0,0.573142641323018,False,multiplicative,0.03,0.05,regional,normal,0.99,19.9,0.8,20.7,9209944,True,Prophet_Alzheimer_Ciudad_de_Mexico_hombres.pkl,,Ciudad de México
Alzheimer,incrementos_mujeres,0.014833587823551183,0.012330491403963334,999.0,0.7201985697278079,False,multiplicative,0.01,0.1,regional,normal,1.67,20.2,1.0,21.1,9209944,True,Prophet_Alzheimer_Ciudad_de_Mexico_mujeres.pkl,,Ciudad de México
Alzheimer,incrementos_total,0.018755258066953523,0.015571083766203461,999.0,0.6536541538827569,False,multiplicative,0.01,0.1,regional,normal,2.66,21.1,0.9,22.0,9209944,True,Prophet_Alzheimer_Ciudad_de_Mexico_general.pkl,,Ciudad de México
Alzheimer,incrementos_hombres,0.029948051034418777,0.024073595708620076,999.0,0.9571928340793396,False,multiplicative,0.01,0.5,regional,normal,0.59,18.3,0.8,19.1,3146771,True,Prophet_Alzheimer_Coahuila_hombres.pkl,,Coahuila
Alzheimer,incrementos_mujeres,0.03718764023360847,0.02693122523866422,999.0,0.8863233128769631,False,multiplicative,0.01,0.5,regional,normal,0.77,19.2,0.7,19.9,3146771,True,Prophet_Alzheimer_Coahuila_mujeres.pkl,,Coahuila
Alzheimer,incrementos_total,0.050744043168541274,0.03738717324086017,999.0,0.795354859874705,False,multiplicative,0.01,0.1,regional,normal,1.36,19.3,0.7,20.1,3146771,True,Prophet_Alzheimer_Coahuila_general.pkl,,Coahuila
Alzheimer,incrementos_hombres,,,,,True,multiplicative,0.01,0.05,regional,insuficiente,0.33,0.0,0.8,0.8,731391,True,Prophet_Alzheimer_Colima_hombres.pkl,Prophet_Alzheimer_region_Urbana_media_hombres.pkl,Colima
Alzheimer,incrementos_mujeres,0.12215386309839124,0.10556064757365917,999.0,1.235061426062882,False,multiplicative,0.01,0.5,regional,normal,0.55,18.7,0.8,19.5,731391,True,Prophet_Alzheimer_Colima_mujeres.pkl,,Colima
Alzheimer,incrementos_total,0.15503828833810013,0.13349466508574995,999.0,1.0867981987432491,False,multiplicative,0.03,0.1,regional,normal,0.88,18.4,1.0,19.4,731391,True,Prophet_Alzheimer_Colima_general.pkl,,Colima
Alzheimer,incrementos_hombres,,,,,True,multiplicative,0.01,0.05,regional,insuficiente,0.39,0.0,0.8,0.8,1832650,True,Prophet_Alzheimer_Durango_hombres.pkl,Prophet_Alzheimer_region_Urbana_media_hombres.pkl,Durango
