padecimiento,sexo,rmse,mae,mape,mase,mape_confiable,seasonality_mode,changepoint_prior_scale,seasonality_prior_scale,nivel,confianza,promedio_semanal,tiempo_cv_seg,tiempo_train_seg,tiempo_total_seg,poblacion,normalizado,archivo_modelo,usar_regional,Entidad
Parkinson,incrementos_hombres,0.029869710295081668,0.023500186565134078,795.3243020223061,0.37677864443293696,True,additive,0.05,0.1,regional,normal,5.33,62.6,1.0,63.6,9209944,True,Prophet_Parkinson_Ciudad_de_Mexico_hombres.pkl,,Ciudad de México
Parkinson,incrementos_mujeres,0.030189175757469527,0.02249134176134335,456.75068677242626,0.37458954060359556,True,multiplicative,0.03,1.0,regional,normal,5.45,60.7,1.1,61.8,9209944,True,Prophet_Parkinson_Ciudad_de_Mexico_mujeres.pkl,,Ciudad de México
Parkinson,incrementos_total,0.05073027449978362,0.041838401540902695,178.8526990702615,0.3848587356385861,True,additive,0.03,0.1,regional,normal,10.78,61.7,1.1,62.9,9209944,True,Prophet_Parkinson_Ciudad_de_Mexico_general.pkl,,Ciudad de México
Parkinson,incrementos_hombres,0.050765470597899674,0.03895916942033116,999.0,0.6126297753581545,False,additive,0.05,0.1,regional,normal,1.88,63.8,1.3,65.1,3146771,True,Prophet_Parkinson_Coahuila_hombres.pkl,,Coahuila
Parkinson,incrementos_mujeres,0.05194348986917361,0.04168923055280368,999.0,0.6855161372196042,False,additive,0.05,1.0,regional,normal,1.72,66.5,1.0,67.5,3146771,True,Prophet_Parkinson_Coahuila_mujeres.pkl,,Coahuila
Parkinson,incrementos_total,0.07474491652626232,0.05841140862258761,999.0,0.5440703417350329,False,additive,0.05,1.0,regional,normal,3.6,67.4,1.3,68.7,3146771,True,Prophet_Parkinson_Coahuila_general.pkl,,Coahuila
Parkinson,incrementos_hombres,0.15656663984691366,0.1267999452329784,384.70274985177184,0.7724816564691874,True,multiplicative,0.05,0.1,regional,normal,2.11,64.5,0.9,65.5,731391,True,Prophet_Parkinson_Colima_hombres.pkl,,Colima
Parkinson,incrementos_mujeres,0.16759904965806344,0.1323446978597024,999.0,0.8577123227410757,False,additive,0.03,1.0,regional,normal,1.85,70.8,1.1,71.9,731391,True,Prophet_Parkinson_Colima_mujeres.pkl,,Colima
Parkinson,incrementos_total,0.19880548130620257,0.1616968847674601,39.361520129839214,0.7768480813464417,True,additive,0.03,0.5,regional,normal,3.97,69.3,1.9,71.2,731391,True,Prophet_Parkinson_Colima_general.pkl,,Colima
Parkinson,incrementos_hombres,0.10966183468057047,0.0854026899752385,999.0,0.8991471461377791,False,additive,0.04,0.1,regional,normal,2.49,75.4,1.3,76.7,1832650,True,Prophet_Parkinson_Durango_hombres.pkl,,Durango
Parkinson,incrementos_mujeres,0.09894440766637795,0.07287328465969088,999.0,0.7787089636668787,False,additive,0.03,0.1,regional,normal,2.24,75.4,0.8,76.2,1832650,True,Prophet_Parkinson_Durango_mujeres.pkl,,Durango
Parkinson,incrementos_total,0.15601679577899388,0.12062947827845101,383.2166721733687,0.8065087858960113,True,additive,0.04,0.1,regional,normal,4.74,76.9,1.1,78.1,1832650,True,Prophet_Parkinson_Durango_general.pkl,,Durango
Parkinson,incrementos_hombres,0.025390760911733815,0.020755672793402596,999.0,0.8795876444751473,False,additive,0.03,1.0,regional,normal,1.6,70.5,1.4,71.9,6166934,True,Prophet_Parkinson_Guanajuato_hombres.pkl,,Guanajuato
Parkinson,incrementos_mujeres,0.022054627289709448,0.0174734522077254,999.0,0.8356865296529948,False,multiplicative,0.03,0.1,regional,normal,1.26,72.9,1.1,74.0,6166934,True,Prophet_Parkinson_Guanajuato_mujeres.pkl,,Guanajuato
Parkinson,incrementos_total,0.03581983886155497,0.029189789011421264,999.0,0.7988598784756997,False,additive,0.03,0.5,regional,normal,2.86,71.5,0.8,72.3,6166934,True,Prophet_Parkinson_Guanajuato_general.pkl,,Guanajuato
Parkinson,incrementos_hombres,0.033707067548774686,0.026463981448715115,999.0,0.7621574561461543,False,multiplicative,0.05,0.5,regional,normal,1.34,65.8,0.9,66.7,3540685,True,Prophet_Parkinson_Guerrero_hombres.pkl,,Guerrero
Parkinson,incrementos_mujeres,0.03848326976347727,0.029968465361376793,999.0,0.794813680768973,False,multiplicative,0.05,0.1,regional,normal,1.14,66.7,1.2,67.9,3540685,True,Prophet_Parkinson_Guerrero_mujeres.pkl,,Guerrero
Parkinson,incrementos_total,0.05726100516380168,0.04437628536572126,999.0,0.8012966535257178,False,multiplicative,0.04,0.5,regional,normal,2.48,69.6,0.7,70.4,3540685,True,Prophet_Parkinson_Guerrero_general.pkl,,Guerrero
Parkinson,incrementos_hombres,0.03382369475823754,0.026009030981539578,999.0,0.6099931803002155,False,additive,0.04,0.1,regional,normal,1.22,62.9,0.8,63.7,3082841,True,Prophet_Parkinson_Hidalgo_hombres.pkl,,Hidalgo
Parkinson,incrementos_mujeres,0.0365842616897619,0.02542489814843332,999.0,0.7029450261337589,False,multiplicative,0.05,0.1,regional,normal,1.1,63.6,1.2,64.7,3082841,True,Prophet_Parkinson_Hidalgo_mujeres.pkl,,Hidalgo
Parkinson,incrementos_total,0.05411847116669161,0.038117368368099334,999.0,0.6446677994316173,False,additive,0.03,0.5,regional,normal,2.32,63.3,1.1,64.4,3082841,True,Prophet_Parkinson_Hidalgo_general.pkl,,Hidalgo
Parkinson,incrementos_hombres,0.05120629253598097,0.03904765071730607,60.98969804904632,0.8121111995232438,True,additive,0.04,1.0,regional,normal,7.77,73.8,0.9,74.7,8348151,True,Prophet_Parkinson_Jalisco_hombres.pkl,,Jalisco
Parkinson,incrementos_mujeres,0.05577252534942693,0.0434440907561305,520.1684810821647,0.9493424691608456,True,multiplicative,0.03,0.1,regional,normal,6.83,70.3,1.1,71.4,8348151,True,Prophet_Parkinson_Jalisco_mujeres.pkl,,Jalisco
Parkinson,incrementos_total,0.08624197499654669,0.06673337792054922,55.307343333643644,0.9087059117420383,True,additive,0.03,0.5,regional,normal,14.6,72.5,0.9,73.3,8348151,True,Prophet_Parkinson_Jalisco_general.pkl,,Jalisco
Parkinson,incrementos_hombres,0.043221811727012734,0.03374808178794488,999.0,0.8536846988785604,False,multiplicative,0.05,0.5,regional,normal,2.71,62.7,1.3,64.1,4748846,True,Prophet_Parkinson_Michoacan_hombres.pkl,,Michoacán
Parkinson,incrementos_mujeres,0.04026500153419754,0.03299847473033557,999.0,0.8784483357376514,False,multiplicative,0.03,0.5,regional,normal,2.5,67.7,1.0,68.7,4748846,True,Prophet_Parkinson_Michoacan_mujeres.pkl,,Michoacán
Parkinson,incrementos_total,0.063563515118772,0.0517724645192898,659.2630249760219,0.8804047177873331,True,multiplicative,0.03,0.1,regional,normal,5.2,67.1,0.9,68.0,4748846,True,Prophet_Parkinson_Michoacan_general.pkl,,Michoacán
Parkinson,incrementos_hombres,0.08601879682646463,0.06998897903543781,999.0,0.7221279157691702,False,additive,0.03,1.0,regional,normal,2.5,62.8,1.0,63.8,1971520,True,Prophet_Parkinson_Morelos_hombres.pkl,,Morelos
Parkinson,incrementos_mujeres,0.08963841349711589,0.07222895742733579,999.0,0.6850040165577685,False,multiplicative,0.03,0.1,regional,normal,2.47,65.5,0.9,66.3,1971520,True,Prophet_Parkinson_Morelos_mujeres.pkl,,Morelos
Parkinson,incrementos_total,0.12801848245224753,0.10434621389864554,999.0,0.659070857464516,False,multiplicative,0.03,0.1,regional,normal,4.97,69.1,1.0,70.1,1971520,True,Prophet_Parkinson_Morelos_general.pkl,,Morelos
Parkinson,incrementos_hombres,0.02957091825192985,0.02417452820186063,522.8093319008683,1.1960501135472354,True,additive,0.03,1.0,regional,normal,5.52,67.0,0.8,67.8,16992418,True,Prophet_Parkinson_Mexico_hombres.pkl,,México
Parkinson,incrementos_mujeres,0.026378280105368947,0.020759381120088415,447.0666281018266,1.299366683635849,True,additive,0.03,0.5,regional,normal,4.59,65.5,0.9,66.4,16992418,True,Prophet_Parkinson_Mexico_mujeres.pkl,,México
Parkinson,incrementos_total,0.05024490760093054,0.041630758379449004,101.31222122049437,1.437702320620242,True,additive,0.03,0.5,regional,normal,10.11,67.7,1.1,68.8,16992418,True,Prophet_Parkinson_Mexico_general.pkl,,México
Parkinson,incrementos_hombres,0.07900381729275144,0.06335380300467819,999.0,0.7413278983480256,False,multiplicative,0.03,0.1,regional,normal,0.98,64.4,0.9,65.3,1235456,True,Prophet_Parkinson_Nayarit_hombres.pkl,,Nayarit
Parkinson,incrementos_mujeres,0.06976803903269148,0.05947679890970042,999.0,0.7667186876887744,False,multiplicative,0.03,0.1,regional,normal,0.81,62.3,0.9,63.2,1235456,True,Prophet_Parkinson_Nayarit_mujeres.pkl,,Nayarit
Parkinson,incrementos_total,0.11337224447268168,0.09385911497190502,999.0,0.7585741227878388,False,multiplicative,0.03,1.0,regional,normal,1.79,64.2,0.9,65.1,1235456,True,Prophet_Parkinson_Nayarit_general.pkl,,Nayarit
Parkinson,incrementos_hombres,0.030554844726820216,0.023636382955425816,999.0,0.6341842610281027,False,multiplicative,0.04,1.0,regional,normal,3.03,66.8,1.2,68.0,5784442,True,Prophet_Parkinson_Nuevo_Leon_hombres.pkl,,Nuevo León
Parkinson,incrementos_mujeres,0.026143189565361408,0.02017273769246175,999.0,0.5583645836390504,False,multiplicative,0.04,0.1,regional,normal,2.5,62.9,0.9,63.9,5784442,True,Prophet_Parkinson_Nuevo_Leon_mujeres.pkl,,Nuevo León
Parkinson,incrementos_total,0.0422680192128471,0.03295305962638178,257.6015640499531,0.580176860324023,True,multiplicative,0.03,1.0,regional,normal,5.53,64.4,1.0,65.5,5784442,True,Prophet_Parkinson_Nuevo_Leon_general.pkl,,Nuevo León
Parkinson,incrementos_hombres,0.03492831089025435,0.028893622191695216,999.0,0.7012797104193673,False,additive,0.04,0.1,regional,normal,1.98,65.1,1.1,66.2,4132148,True,Prophet_Parkinson_Oaxaca_hombres.pkl,,Oaxaca
Parkinson,incrementos_mujeres,0.03106670041047647,0.024893423485594566,999.0,0.652465747923008,False,additive,0.03,0.1,regional,normal,1.57,66.7,0.9,67.6,4132148,True,Prophet_Parkinson_Oaxaca_mujeres.pkl,,Oaxaca
Parkinson,incrementos_total,0.05134579588054998,0.04077354127876019,999.0,0.6670352556476082,False,additive,0.04,0.5,regional,normal,3.55,64.8,0.9,65.7,4132148,True,Prophet_Parkinson_Oaxaca_general.pkl,,Oaxaca
Parkinson,incrementos_hombres,0.09253576909370888,0.0667049057264107,999.0,1.1377759067041242,False,multiplicative,0.03,0.1,regional,normal,3.76,64.3,0.9,65.2,6583278,True,Prophet_Parkinson_Puebla_hombres.pkl,,Puebla
Parkinson,incrementos_mujeres,0.08509226320622403,0.06461863128442738,999.0,1.0676367956766792,False,multiplicative,0.03,0.1,regional,normal,3.67,61.8,0.8,62.6,6583278,True,Prophet_Parkinson_Puebla_mujeres.pkl,,Puebla
Parkinson,incrementos_total,0.1540036207011821,0.11443796947325915,999.0,1.1565266962790102,False,multiplicative,0.03,0.5,regional,normal,7.43,64.7,0.9,65.6,6583278,True,Prophet_Parkinson_Puebla_general.pkl,,Puebla
Parkinson,incrementos_hombres,0.03033252927168154,0.026448951391370712,999.0,0.7848823922470926,False,multiplicative,0.05,0.1,regional,normal,0.57,65.6,1.3,66.9,2368467,True,Prophet_Parkinson_Queretaro_hombres.pkl,,Querétaro
Parkinson,incrementos_mujeres,,,,,True,multiplicative,0.03,0.1,regional,insuficiente,0.41,0.0,0.9,0.9,2368467,True,Prophet_Parkinson_Queretaro_mujeres.pkl,Prophet_Parkinson_region_Urbana_media_mujeres.pkl,Querétaro
Parkinson,incrementos_total,0.038505459067377776,0.030265849863408266,999.0,0.6287643005041483,False,multiplicative,0.05,0.1,regional,normal,0.98,66.6,1.0,67.5,2368467,True,Prophet_Parkinson_Queretaro_general.pkl,,Querétaro
Parkinson,incrementos_hombres,0.04678881295377681,0.035614269365640785,999.0,0.8754338373614008,False,additive,0.04,0.5,regional,normal,0.61,60.5,0.9,61.4,1857985,True,Prophet_Parkinson_Quintana_Roo_hombres.pkl,,Quintana Roo
Parkinson,incrementos_mujeres,0.0501486774460757,0.03893975236217743,999.0,0.9042076463316338,False,multiplicative,0.03,0.1,regional,normal,0.61,60.2,0.9,61.1,1857985,True,Prophet_Parkinson_Quintana_Roo_mujeres.pkl,,Quintana Roo
Parkinson,incrementos_total,0.06839285073477643,0.05015084028073859,999.0,0.7542095057529075,False,additive,0.03,0.5,regional,normal,1.21,61.1,1.1,62.2,1857985,True,Prophet_Parkinson_Quintana_Roo_general.pkl,,Quintana Roo
Parkinson,incrementos_hombres,0.04862709353494265,0.03796648144196609,999.0,0.747879533939073,False,multiplicative,0.04,1.0,regional,normal,1.58,69.9,1.6,71.5,2822255,True,Prophet_Parkinson_San_Luis_Potosi_hombres.pkl,,San Luis Potosí
Parkinson,incrementos_mujeres,0.04650703403974208,0.03754083721947617,999.0,0.665953217926927,False,multiplicative,0.03,0.1,regional,normal,1.6,64.7,0.8,65.5,2822255,True,Prophet_Parkinson_San_Luis_Potosi_mujeres.pkl,,San Luis Potosí
Parkinson,incrementos_total,0.07278032754841167,0.05885353207720675,999.0,0.7013073664689264,False,multiplicative,0.05,0.5,regional,normal,3.18,69.4,1.5,70.9,2822255,True,Prophet_Parkinson_San_Luis_Potosi_general.pkl,,San Luis Potosí
Parkinson,incrementos_hombres,0.06296851666550189,0.05098826599606233,385.7386630649016,0.5713968379711456,True,multiplicative,0.03,0.1,regional,normal,4.51,68.6,1.1,69.7,3026943,True,Prophet_Parkinson_Sinaloa_hombres.pkl,,Sinaloa
Parkinson,incrementos_mujeres,0.07246845044898091,0.05794603475712562,532.6886569268163,0.6422527941219898,True,additive,0.04,0.5,regional,normal,4.45,67.5,1.0,68.5,3026943,True,Prophet_Parkinson_Sinaloa_mujeres.pkl,,Sinaloa
Parkinson,incrementos_total,0.0956679415601072,0.07688073615526561,42.68448825909418,0.5604289745551944,True,additive,0.05,0.5,regional,normal,8.97,73.0,0.9,73.8,3026943,True,Prophet_Parkinson_Sinaloa_general.pkl,,Sinaloa
Parkinson,incrementos_hombres,0.04782388294149188,0.03863800769582354,999.0,0.6712853296038345,False,multiplicative,0.03,0.1,regional,normal,2.15,66.1,1.6,67.7,2944840,True,Prophet_Parkinson_Sonora_hombres.pkl,,Sonora
Parkinson,incrementos_mujeres,0.04050052082500011,0.0325498825728822,999.0,0.607853795623507,False,additive,0.03,0.5,regional,normal,1.65,64.8,0.9,65.7,2944840,True,Prophet_Parkinson_Sonora_mujeres.pkl,,Sonora
Parkinson,incrementos_total,0.05987967983678267,0.04924004434827124,664.2152289971127,0.5837322710351689,True,additive,0.03,1.0,regional,normal,3.8,67.4,0.9,68.3,2944840,True,Prophet_Parkinson_Sonora_general.pkl,,Sonora
Parkinson,incrementos_hombres,0.07070008004909735,0.0553097824273566,999.0,1.0500766472435517,False,additive,0.03,0.1,regional,normal,1.45,68.7,0.9,69.7,2402598,True,Prophet_Parkinson_Tabasco_hombres.pkl,,Tabasco
Parkinson,incrementos_mujeres,0.05762324035551775,0.0457760897026096,999.0,1.0939487277805913,False,multiplicative,0.04,0.5,regional,normal,0.94,65.4,0.8,66.2,2402598,True,Prophet_Parkinson_Tabasco_mujeres.pkl,,Tabasco
Parkinson,incrementos_total,0.10062775905094815,0.08038937301688087,999.0,1.1161880501924009,False,additive,0.03,0.5,regional,normal,2.39,70.8,1.1,72.0,2402598,True,Prophet_Parkinson_Tabasco_general.pkl,,Tabasco
Parkinson,incrementos_hombres,0.061639193122265394,0.04813398412031898,999.0,0.8070113299112905,False,additive,0.05,0.5,regional,normal,3.11,67.7,1.2,68.9,3527735,True,Prophet_Parkinson_Tamaulipas_hombres.pkl,,Tamaulipas
Parkinson,incrementos_mujeres,0.07503987494938845,0.04660346986907581,999.0,0.8823024262383716,False,multiplicative,0.03,1.0,regional,normal,2.85,75.1,1.0,76.1,3527735,True,Prophet_Parkinson_Tamaulipas_mujeres.pkl,,Tamaulipas
Parkinson,incrementos_total,0.09695414371943624,0.06455936668443107,179.66573882568588,0.7786545711184549,True,multiplicative,0.04,0.1,regional,normal,5.96,73.1,1.2,74.3,3527735,True,Prophet_Parkinson_Tamaulipas_general.pkl,,Tamaulipas
Parkinson,incrementos_hombres,0.054998316861734786,0.04815119962075471,999.0,0.796932731726079,False,multiplicative,0.03,0.1,regional,normal,0.64,65.1,1.1,66.2,1342977,True,Prophet_Parkinson_Tlaxcala_hombres.pkl,,Tlaxcala
Parkinson,incrementos_mujeres,0.06581833246533027,0.051600980952995035,999.0,0.9223441435769866,False,multiplicative,0.03,0.5,regional,normal,0.57,60.9,0.9,61.9,1342977,True,Prophet_Parkinson_Tlaxcala_mujeres.pkl,,Tlaxcala
Parkinson,incrementos_total,0.0901339559797244,0.07055319909864992,999.0,0.7710737833973236,False,multiplicative,0.03,0.1,regional,normal,1.21,66.8,1.0,67.8,1342977,True,Prophet_Parkinson_Tlaxcala_general.pkl,,Tlaxcala
Parkinson,incrementos_hombres,0.03680636864485859,0.029813851288908344,184.85516274992594,0.7374825390648478,True,additive,0.04,0.5,regional,normal,6.48,70.8,1.1,71.9,8062579,True,Prophet_Parkinson_Veracruz_hombres.pkl,,Veracruz
Parkinson,incrementos_mujeres,0.03611410770658159,0.029741924681875496,459.28214916155036,0.7986093643433927,True,additive,0.05,0.1,regional,normal,5.36,61.1,0.8,61.9,8062579,True,Prophet_Parkinson_Veracruz_mujeres.pkl,,Veracruz
Parkinson,incrementos_total,0.05139053471839489,0.0407370246222331,35.90687128520694,0.6739226370387353,True,additive,0.05,1.0,regional,normal,11.84,61.5,0.8,62.3,8062579,True,Prophet_Parkinson_Veracruz_general.pkl,,Veracruz
Parkinson,incrementos_hombres,0.057473516022999487,0.04513757625812403,999.0,1.0249244305801162,False,additive,0.03,0.1,regional,normal,1.22,58.2,0.8,59.0,2320898,True,Prophet_Parkinson_Yucatan_hombres.pkl,,Yucatán
Parkinson,incrementos_mujeres,0.05792946169741745,0.04285030775683678,999.0,0.9779444684421227,False,multiplicative,0.05,0.1,regional,normal,1.02,52.9,0.6,53.5,2320898,True,Prophet_Parkinson_Yucatan_mujeres.pkl,,Yucatán
Parkinson,incrementos_total,0.08670561968863931,0.06606172516863508,999.0,0.9657952880502704,False,additive,0.05,1.0,regional,normal,2.24,52.8,212.0,264.9,2320898,True,Prophet_Parkinson_Yucatan_general.pkl,,Yucatán
Parkinson,incrementos_hombres,,,,,True,multiplicative,0.03,0.1,regional,insuficiente,0.43,0.0,0.9,0.9,1622138,True,Prophet_Parkinson_Zacatecas_hombres.pkl,Prophet_Parkinson_region_Urbana_media_hombres.pkl,Zacatecas
Parkinson,incrementos_mujeres,,,,,True,multiplicative,0.03,0.1,regional,insuficiente,0.33,0.0,0.8,0.8,1622138,True,Prophet_Parkinson_Zacatecas_mujeres.pkl,Prophet_Parkinson_region_Urbana_media_mujeres.pkl,Zacatecas
Parkinson,incrementos_total,0.04835555885699689,0.04156381346380015,999.0,0.6583743070777205,False,multiplicative,0.05,0.1,regional,normal,0.77,47.9,0.5,48.5,1622138,True,Prophet_Parkinson_Zacatecas_general.pkl,,Zacatecas
Parkinson,incrementos_hombres,0.024050256252109575,0.019718329022211403,59.25118501436922,0.8954081130670944,True,additive,0.04,0.5,regional,normal,7.68,50.6,0.7,51.4,17185820,True,Prophet_Parkinson_region_Sur-Sureste_vulnerable_hombres.pkl,,region_Sur-Sureste vulnerable
Parkinson,incrementos_mujeres,0.019425712210804063,0.015758279971563368,192.01358669311253,0.8371932910542397,True,additive,0.04,0.5,regional,normal,5.92,50.5,0.9,51.4,17185820,True,Prophet_Parkinson_region_Sur-Sureste_vulnerable_mujeres.pkl,,region_Sur-Sureste vulnerable
Parkinson,incrementos_total,0.034942503214850026,0.02842688922948139,41.075093224032955,0.8552504858876399,True,additive,0.03,0.5,regional,normal,13.6,51.7,0.7,52.3,17185820,True,Prophet_Parkinson_region_Sur-Sureste_vulnerable_general.pkl,,region_Sur-Sureste vulnerable
Parkinson,incrementos_hombres,0.023581350991296553,0.019300410265108696,29.22582034907887,0.7632923079266071,True,additive,0.03,0.5,regional,normal,30.27,52.8,0.6,53.5,39896587,True,Prophet_Parkinson_region_Urbana_media_hombres.pkl,,region_Urbana media
Parkinson,incrementos_mujeres,0.02258197215786559,0.017547813744776545,31.539390992050095,0.6462833471283769,True,additive,0.05,0.5,regional,normal,27.97,52.5,0.6,53.1,39896587,True,Prophet_Parkinson_region_Urbana_media_mujeres.pkl,,region_Urbana media
Parkinson,incrementos_total,0.037604299315417575,0.030669784785054676,25.033738513469775,0.6871714760255426,True,additive,0.05,1.0,regional,normal,58.24,52.2,0.6,52.9,39896587,True,Prophet_Parkinson_region_Urbana_media_general.pkl,,region_Urbana media
