numero,padecimiento,entidad,sexo,prophet_rmse,prophet_mae,prophet_smape,prophet_mase,deepar_rmse,deepar_mae,deepar_smape,deepar_mase,ensemble_rmse,ensemble_mae,ensemble_smape,ensemble_mase,stacking_rmse,stacking_mae,stacking_smape,stacking_mase,mejor_rmse,mejor_mae,mejor_smape,mejor_mase,victorias,modelo_produccion,justificacion
148,Depresión,Guerrero,hombres,6.3498,5.0701,46.2784,0.8988,2.7878,1.4415,8.2081,0.2394,7.4761,5.9966,35.9374,0.9959,7.6453,6.0867,36.4946,1.0109,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 2.79 (vs Prophet 6.35). Gana en 4/4 metricas. MASE=0.24 supera naive seasonal.
149,Depresión,Guerrero,mujeres,14.8256,12.3964,38.2378,0.7936,5.145,1.7557,5.0701,0.1106,25.0787,21.7256,46.7142,1.3654,22.8196,18.3059,37.4556,1.1505,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 5.14 (vs Prophet 14.83). Gana en 4/4 metricas. MASE=0.11 supera naive seasonal.
150,Depresión,Guerrero,general,19.6069,16.2665,37.8054,0.8174,6.9566,2.0513,4.2162,0.0997,34.5038,30.3316,49.7021,1.4711,27.2756,21.5784,32.6157,1.0465,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 6.96 (vs Prophet 19.61). Gana en 4/4 metricas. MASE=0.10 supera naive seasonal.
151,Depresión,Hidalgo,hombres,3.679,2.9353,32.859,0.6243,2.1518,1.1879,9.2953,0.2583,6.6292,4.8055,36.3224,1.0448,7.4308,5.6338,44.5424,1.2248,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 2.15 (vs Prophet 3.68). Gana en 4/4 metricas. MASE=0.26 supera naive seasonal.
152,Depresión,Hidalgo,mujeres,13.6095,11.2283,25.5722,0.8751,8.214,4.8756,9.457,0.3616,16.1123,12.9736,25.335,0.9595,14.3417,11.5377,22.5829,0.8533,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 8.21 (vs Prophet 13.61). Gana en 4/4 metricas. MASE=0.36 supera naive seasonal.
153,Depresión,Hidalgo,general,15.3638,12.5675,23.6763,0.7817,3.1742,1.8725,2.8044,0.114,16.9144,13.1265,19.8474,0.7976,17.0165,13.1332,19.9546,0.798,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 3.17 (vs Prophet 15.36). Gana en 4/4 metricas. MASE=0.11 supera naive seasonal.
154,Depresión,Jalisco,hombres,15.9456,12.2961,21.919,0.8031,10.7337,5.2365,6.9438,0.3358,21.7892,16.3979,24.635,1.0516,20.1291,15.8941,23.8822,1.0193,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 10.73 (vs Prophet 15.95). Gana en 4/4 metricas. MASE=0.34 supera naive seasonal.
155,Depresión,Jalisco,mujeres,30.186,22.9415,17.3039,0.7011,14.4866,8.2233,6.1532,0.2571,38.7369,31.8603,23.4737,0.9963,38.2744,32.5786,23.8786,1.0188,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 14.49 (vs Prophet 30.19). Gana en 4/4 metricas. MASE=0.26 supera naive seasonal.
156,Depresión,Jalisco,general,41.694,31.437,16.7241,0.7161,14.7044,7.9327,3.9598,0.184,58.2206,48.0753,24.1801,1.1154,54.5327,46.4074,23.1004,1.0767,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 14.70 (vs Prophet 41.69). Gana en 4/4 metricas. MASE=0.18 supera naive seasonal.
157,Depresión,Michoacán,hombres,11.1223,8.8318,33.5302,1.1849,1.2991,0.8803,3.0138,0.1057,9.6732,7.7283,22.6115,0.9251,19.6833,17.6739,42.7201,2.1155,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 1.30 (vs Ensemble 9.67). Gana en 4/4 metricas. MASE=0.11 supera naive seasonal.
158,Depresión,Michoacán,mujeres,24.7844,18.3808,25.8215,1.1828,5.4698,1.9825,2.9764,0.1134,22.7898,18.8825,19.454,1.0752,40.1599,37.0262,33.7699,2.1084,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 5.47 (vs Ensemble 22.79). Gana en 4/4 metricas. MASE=0.11 supera naive seasonal.
159,Depresión,Michoacán,general,33.5333,25.8169,26.2329,1.2392,1.7285,1.0901,1.0326,0.0462,26.8956,21.6994,16.8267,0.9158,65.454,60.873,38.98,2.5692,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 1.73 (vs Ensemble 26.90). Gana en 4/4 metricas. MASE=0.05 supera naive seasonal.
160,Depresión,Morelos,hombres,5.769,4.2608,33.5027,0.6533,1.1018,0.3836,2.9351,0.0594,4.131,3.4543,24.5012,0.5336,4.5605,3.7538,26.6539,0.5799,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 1.10 (vs Ensemble 4.13). Gana en 4/4 metricas. MASE=0.06 supera naive seasonal.
161,Depresión,Morelos,mujeres,13.2741,10.2834,23.3382,0.5833,0.8986,0.6283,1.5595,0.0379,10.0601,8.455,18.3255,0.5062,9.7978,8.1403,17.4965,0.4874,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 0.90 (vs Stacking 9.80). Gana en 4/4 metricas. MASE=0.04 supera naive seasonal.
162,Depresión,Morelos,general,16.771,12.9133,22.6446,0.5727,1.1129,0.9277,1.3984,0.0435,12.1434,10.0359,16.4233,0.4683,12.076,9.7942,16.0093,0.4571,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 1.11 (vs Stacking 12.08). Gana en 4/4 metricas. MASE=0.04 supera naive seasonal.
163,Depresión,México,hombres,24.8886,20.9548,34.973,1.3723,19.7209,10.3522,18.6217,0.6137,24.8787,14.8458,29.7087,0.8801,24.3178,14.4059,27.6752,0.854,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 19.72 (vs Stacking 24.32). Gana en 4/4 metricas. MASE=0.61 supera naive seasonal.
164,Depresión,México,mujeres,61.7786,53.4002,31.4636,1.4088,2.4578,1.631,1.3155,0.0388,31.0172,23.6839,16.0524,0.563,35.0411,28.5029,19.2559,0.6775,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 2.46 (vs Ensemble 31.02). Gana en 4/4 metricas. MASE=0.04 supera naive seasonal.
165,Depresión,México,general,85.3784,73.9472,32.209,1.4677,6.9862,4.9532,2.5222,0.0882,42.2705,32.2764,16.113,0.5745,60.9736,51.786,27.5902,0.9217,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 6.99 (vs Ensemble 42.27). Gana en 4/4 metricas. MASE=0.09 supera naive seasonal.
166,Depresión,Nayarit,hombres,8.3439,6.7121,35.838,0.9472,4.7606,2.6772,9.5251,0.3734,13.6738,11.1849,43.0112,1.5561,10.685,8.4437,30.7385,1.1747,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 4.76 (vs Prophet 8.34). Gana en 4/4 metricas. MASE=0.37 supera naive seasonal.
167,Depresión,Nayarit,mujeres,21.5313,18.33,38.5635,0.964,6.2331,3.4548,5.7354,0.1859,23.8115,19.7945,41.4794,1.0653,22.4696,18.3911,38.2357,0.9898,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 6.23 (vs Prophet 21.53). Gana en 4/4 metricas. MASE=0.19 supera naive seasonal.
168,Depresión,Nayarit,general,29.728,25.1587,37.0095,1.0326,6.2353,4.0151,4.6483,0.1689,33.8607,28.7944,38.8788,1.2105,32.72,27.6221,37.4625,1.1612,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 6.24 (vs Prophet 29.73). Gana en 4/4 metricas. MASE=0.17 supera naive seasonal.
169,Depresión,Nuevo León,hombres,8.3174,6.3839,24.849,0.8594,3.8791,2.4168,12.1605,0.304,10.215,8.341,29.8971,1.0492,10.3546,8.4454,30.2215,1.0623,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 3.88 (vs Prophet 8.32). Gana en 4/4 metricas. MASE=0.30 supera naive seasonal.
170,Depresión,Nuevo León,mujeres,20.7837,15.8247,22.739,0.9441,11.5157,5.6154,7.3785,0.3071,22.2762,18.224,23.0026,0.9966,22.715,18.8515,23.6667,1.031,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 11.52 (vs Prophet 20.78). Gana en 4/4 metricas. MASE=0.31 supera naive seasonal.
171,Depresión,Nuevo León,general,25.1675,18.6992,19.6203,0.8443,13.5703,7.5862,7.9103,0.3157,32.5226,26.8892,25.0721,1.1189,31.2383,25.7194,24.0689,1.0702,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 13.57 (vs Prophet 25.17). Gana en 4/4 metricas. MASE=0.32 supera naive seasonal.
172,Depresión,Oaxaca,hombres,5.3717,4.1758,39.3742,0.9093,6.5665,3.985,24.4299,0.8331,12.2031,9.1173,55.3167,1.9022,10.6417,8.3601,49.5258,1.7442,Prophet,DeepAR,DeepAR,DeepAR,1/4,Prophet,Prophet domina con RMSE 5.37 (vs DeepAR 6.57). MASE=0.91 supera naive seasonal.
173,Depresión,Oaxaca,mujeres,11.3938,9.2265,36.121,0.8474,4.9134,2.7516,11.0668,0.2439,13.971,11.219,39.3705,0.9926,11.484,9.0954,30.9745,0.8047,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 4.91 (vs Prophet 11.39). Gana en 4/4 metricas. MASE=0.24 supera naive seasonal.
174,Depresión,Oaxaca,general,13.8306,11.2869,31.7277,0.7872,5.5948,2.4243,7.3154,0.1663,20.643,16.3788,36.4236,1.1211,18.6177,14.7189,32.3816,1.0075,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 5.59 (vs Prophet 13.83). Gana en 4/4 metricas. MASE=0.17 supera naive seasonal.
175,Depresión,Puebla,hombres,12.5476,9.6043,40.3048,0.9792,7.7689,4.7983,22.5955,0.4407,15.1627,11.8182,52.3013,1.0852,15.6398,12.61,54.6472,1.1579,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 7.77 (vs Prophet 12.55). Gana en 4/4 metricas. MASE=0.44 supera naive seasonal.
176,Depresión,Puebla,mujeres,28.9212,21.0967,35.8761,1.0139,22.4256,13.6503,26.455,0.5944,37.8447,30.6593,51.9296,1.3338,40.1186,34.5667,56.7435,1.5038,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 22.43 (vs Prophet 28.92). Gana en 4/4 metricas. MASE=0.59 supera naive seasonal.
177,Depresión,Puebla,general,38.0762,28.1737,33.8684,0.9782,24.1853,13.2303,16.2813,0.4194,53.6393,44.8368,53.2052,1.42,55.4012,48.0291,56.0483,1.5211,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 24.19 (vs Prophet 38.08). Gana en 4/4 metricas. MASE=0.42 supera naive seasonal.
178,Depresión,Querétaro,hombres,2.503,2.0144,48.3007,0.7974,1.2125,0.6134,14.4852,0.2381,3.5879,2.5782,46.3041,1.0006,3.4684,2.663,46.1138,1.0335,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 1.21 (vs Prophet 2.50). Gana en 4/4 metricas. MASE=0.24 supera naive seasonal.
179,Depresión,Querétaro,mujeres,8.1603,5.5666,34.8173,0.8845,5.1943,2.1883,11.8988,0.3303,9.1859,6.5142,33.9659,0.9834,9.342,7.6129,38.3486,1.1492,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 5.19 (vs Prophet 8.16). Gana en 4/4 metricas. MASE=0.33 supera naive seasonal.
180,Depresión,Querétaro,general,9.2095,6.5419,31.7272,0.8501,5.1904,2.4394,9.7491,0.3011,11.7927,8.2633,32.5259,1.02,11.957,9.7123,36.5748,1.1988,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 5.19 (vs Prophet 9.21). Gana en 4/4 metricas. MASE=0.30 supera naive seasonal.
181,Depresión,Quintana Roo,hombres,4.1514,3.1972,41.8546,0.8851,2.2004,1.176,16.9345,0.308,4.2271,3.126,42.2505,0.8187,4.9498,4.3615,54.3568,1.1423,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 2.20 (vs Prophet 4.15). Gana en 4/4 metricas. MASE=0.31 supera naive seasonal.
182,Depresión,Quintana Roo,mujeres,7.569,6.185,28.3541,0.694,2.2532,1.0562,6.4692,0.1224,7.7536,5.6856,27.9299,0.6588,7.4562,5.8208,27.6718,0.6745,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 2.25 (vs Stacking 7.46). Gana en 4/4 metricas. MASE=0.12 supera naive seasonal.
183,Depresión,Quintana Roo,general,10.4288,8.381,27.8445,0.7571,2.9342,1.8779,7.4145,0.1709,10.9653,7.8738,28.5199,0.7163,10.6193,8.5248,29.2411,0.7755,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 2.93 (vs Prophet 10.43). Gana en 4/4 metricas. MASE=0.17 supera naive seasonal.
184,Depresión,San Luis Potosí,hombres,6.1035,4.6428,35.1704,0.6833,1.1606,0.6369,5.113,0.0952,5.9385,4.4557,30.2873,0.6661,6.5002,5.2683,34.8262,0.7875,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 1.16 (vs Ensemble 5.94). Gana en 4/4 metricas. MASE=0.10 supera naive seasonal.
185,Depresión,San Luis Potosí,mujeres,12.818,10.081,25.4545,0.7382,2.2812,1.016,3.2404,0.0765,12.466,10.1026,23.6735,0.7587,15.0107,12.5228,27.6599,0.9404,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 2.28 (vs Ensemble 12.47). Gana en 4/4 metricas. MASE=0.08 supera naive seasonal.
186,Depresión,San Luis Potosí,general,16.6663,13.5717,25.429,0.7599,2.6598,1.5916,3.2679,0.0917,16.3693,12.9216,22.371,0.7424,20.7302,17.5257,28.5463,1.007,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 2.66 (vs Ensemble 16.37). Gana en 4/4 metricas. MASE=0.09 supera naive seasonal.
187,Depresión,Sinaloa,hombres,7.3128,6.0102,29.7125,0.7868,2.1563,0.7307,4.2219,0.0952,6.1513,4.9263,19.8613,0.6421,11.2497,10.2517,35.9913,1.3362,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 2.16 (vs Ensemble 6.15). Gana en 4/4 metricas. MASE=0.10 supera naive seasonal.
188,Depresión,Sinaloa,mujeres,15.2016,12.3008,21.3682,0.6652,6.1092,2.504,4.7764,0.1422,12.958,9.1646,14.4091,0.5204,19.2283,16.1884,23.3265,0.9193,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 6.11 (vs Ensemble 12.96). Gana en 4/4 metricas. MASE=0.14 supera naive seasonal.
189,Depresión,Sinaloa,general,20.8576,17.1916,21.9063,0.7315,8.4269,3.3301,4.1635,0.1469,17.4677,13.294,14.9302,0.5863,28.6077,25.1157,25.6655,1.1076,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 8.43 (vs Ensemble 17.47). Gana en 4/4 metricas. MASE=0.15 supera naive seasonal.
190,Depresión,Sonora,hombres,6.8795,5.3868,34.4431,0.9745,1.6468,0.7516,5.8035,0.1287,5.2637,4.4864,30.0672,0.7653,7.5594,6.6419,40.2844,1.133,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 1.65 (vs Ensemble 5.26). Gana en 4/4 metricas. MASE=0.13 supera naive seasonal.
191,Depresión,Sonora,mujeres,16.5174,13.3032,28.8795,0.9775,6.5062,3.6858,8.6845,0.2632,16.2695,13.4687,33.439,0.9617,10.4054,7.7803,17.648,0.5555,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 6.51 (vs Stacking 10.41). Gana en 4/4 metricas. MASE=0.26 supera naive seasonal.
192,Depresión,Sonora,general,21.7078,17.7613,29.1671,1.0406,7.9866,3.6087,6.55,0.2034,15.0665,10.9783,19.5083,0.6188,12.3625,9.4099,16.0706,0.5304,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 7.99 (vs Stacking 12.36). Gana en 4/4 metricas. MASE=0.20 supera naive seasonal.
193,Depresión,Tabasco,hombres,11.0625,8.414,40.3078,1.3068,0.7489,0.3634,1.8391,0.0437,12.0591,9.9398,38.5103,1.1955,9.5194,7.9903,32.7215,0.961,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 0.75 (vs Stacking 9.52). Gana en 4/4 metricas. MASE=0.04 supera naive seasonal.
194,Depresión,Tabasco,mujeres,20.97,16.4198,32.8878,1.1561,2.3172,1.3814,3.5373,0.0795,13.624,11.2009,22.4214,0.6443,15.2275,12.5426,24.5526,0.7215,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 2.32 (vs Ensemble 13.62). Gana en 4/4 metricas. MASE=0.08 supera naive seasonal.
195,Depresión,Tabasco,general,28.0228,22.5123,32.0204,1.1747,7.1655,4.1594,5.7854,0.1757,19.9679,16.2853,21.5198,0.6878,17.8688,14.4922,19.3406,0.6121,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 7.17 (vs Stacking 17.87). Gana en 4/4 metricas. MASE=0.18 supera naive seasonal.
196,Depresión,Tamaulipas,hombres,8.1605,6.1772,30.8675,0.6081,1.0541,0.5426,3.5234,0.0562,8.6946,7.5524,43.4653,0.7822,6.3751,5.2662,33.6531,0.5454,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 1.05 (vs Stacking 6.38). Gana en 4/4 metricas. MASE=0.06 supera naive seasonal.
197,Depresión,Tamaulipas,mujeres,15.5601,11.7777,21.6563,0.6405,5.0169,2.6838,6.5077,0.1521,11.0783,8.1861,17.89,0.4624,13.0846,10.7225,22.3417,0.6056,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 5.02 (vs Ensemble 11.08). Gana en 4/4 metricas. MASE=0.15 supera naive seasonal.
198,Depresión,Tamaulipas,general,21.1564,16.191,21.7361,0.6336,4.7918,2.1144,4.4927,0.0868,16.6262,12.8392,20.5188,0.5263,17.8026,14.4126,22.4542,0.5908,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 4.79 (vs Ensemble 16.63). Gana en 4/4 metricas. MASE=0.09 supera naive seasonal.
199,Depresión,Tlaxcala,hombres,2.9383,2.3922,47.3755,1.0937,0.4819,0.2163,15.3851,0.0909,3.0017,2.3743,53.555,0.9971,2.8072,2.2755,53.8764,0.9556,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 0.48 (vs Stacking 2.81). Gana en 4/4 metricas. MASE=0.09 supera naive seasonal.
200,Depresión,Tlaxcala,mujeres,6.78,5.2323,30.3985,1.0818,1.7897,1.0131,6.361,0.1882,5.6342,4.4468,24.8193,0.8261,9.6345,8.6051,42.0418,1.5985,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 1.79 (vs Ensemble 5.63). Gana en 4/4 metricas. MASE=0.19 supera naive seasonal.
201,Depresión,Tlaxcala,general,7.982,6.2958,28.1246,1.0495,3.8222,2.4344,11.4651,0.368,7.6579,6.3608,27.5861,0.9616,11.3515,9.9463,39.2375,1.5036,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 3.82 (vs Ensemble 7.66). Gana en 4/4 metricas. MASE=0.37 supera naive seasonal.
202,Depresión,Veracruz,hombres,9.2054,7.2161,23.6526,0.7426,0.4657,0.3427,1.4672,0.0362,7.911,6.3051,22.2963,0.6672,8.6328,7.1185,25.2524,0.7533,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 0.47 (vs Ensemble 7.91). Gana en 4/4 metricas. MASE=0.04 supera naive seasonal.
203,Depresión,Veracruz,mujeres,24.2194,19.9291,21.9711,0.7264,3.24,1.9017,2.9104,0.073,21.09,16.5685,18.1264,0.6359,26.2744,21.6625,23.5373,0.8314,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 3.24 (vs Ensemble 21.09). Gana en 4/4 metricas. MASE=0.07 supera naive seasonal.
204,Depresión,Veracruz,general,32.7004,26.8777,21.8153,0.7734,4.1897,2.5359,2.3158,0.0769,26.2185,21.0923,17.3979,0.6395,30.8668,25.1022,20.68,0.7611,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 4.19 (vs Ensemble 26.22). Gana en 4/4 metricas. MASE=0.08 supera naive seasonal.
205,Depresión,Yucatán,hombres,6.8154,5.3004,39.5468,1.1063,1.3348,0.8684,4.0817,0.1632,7.6523,6.1786,27.6456,1.1627,7.0765,5.3059,23.5729,0.9984,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 1.33 (vs Prophet 6.82). Gana en 4/4 metricas. MASE=0.16 supera naive seasonal.
206,Depresión,Yucatán,mujeres,15.3052,12.3412,30.1408,1.0349,3.8169,2.0017,3.7161,0.16,27.4205,24.4299,39.2869,1.9547,15.1405,12.5007,19.0358,1.0002,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 3.82 (vs Stacking 15.14). Gana en 4/4 metricas. MASE=0.16 supera naive seasonal.
207,Depresión,Yucatán,general,20.7066,16.6769,30.9044,1.0949,8.1261,4.0882,5.5838,0.2498,30.593,26.9456,31.3916,1.6478,18.1595,14.8268,16.8491,0.9067,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 8.13 (vs Stacking 18.16). Gana en 4/4 metricas. MASE=0.25 supera naive seasonal.
208,Depresión,Zacatecas,hombres,4.3678,3.6428,38.4408,1.0044,1.8325,1.1344,10.0321,0.2976,6.0943,4.3312,35.8566,1.1361,5.9631,4.5248,36.7484,1.1869,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 1.83 (vs Prophet 4.37). Gana en 4/4 metricas. MASE=0.30 supera naive seasonal.
209,Depresión,Zacatecas,mujeres,10.6761,8.7414,27.7038,1.0607,4.1993,1.4301,4.445,0.1626,11.6318,9.4267,24.3753,1.0697,15.778,12.6594,30.5229,1.4366,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 4.20 (vs Prophet 10.68). Gana en 4/4 metricas. MASE=0.16 supera naive seasonal.
210,Depresión,Zacatecas,general,13.6686,11.1967,27.0543,1.0967,5.7866,2.1937,4.6209,0.2003,15.9126,12.3415,24.2546,1.1251,20.7167,16.7353,30.6364,1.5256,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 5.79 (vs Prophet 13.67). Gana en 4/4 metricas. MASE=0.20 supera naive seasonal.
211,Depresión,region_Metropolitana alta,hombres,52.7675,44.4643,17.5573,1.0107,46.2727,34.3333,12.4561,0.744,80.7516,68.4912,27.0191,1.4842,71.8626,60.3958,23.5938,1.3088,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 46.27 (vs Prophet 52.77). Gana en 4/4 metricas. MASE=0.74 supera naive seasonal.
212,Depresión,region_Metropolitana alta,mujeres,132.8736,112.9738,16.8599,0.9088,123.013,96.4983,13.5471,0.7665,124.874,102.023,14.6685,0.8104,126.3585,101.8749,14.4355,0.8092,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,"DeepAR gana por margen minimo (RMSE 123.01 vs Ensemble 124.87, -1.5%). Gana en 4/4 metricas. MASE=0.77 supera naive seasonal."
213,Depresión,region_Metropolitana alta,general,175.9755,152.6425,16.7059,0.9427,110.4647,91.9836,9.6123,0.5555,209.6871,174.5924,18.4402,1.0544,228.3187,198.8178,21.6594,1.2007,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 110.46 (vs Prophet 175.98). Gana en 4/4 metricas. MASE=0.56 supera naive seasonal.
214,Depresión,region_Rural / dispersa,hombres,32.2231,26.9864,21.6101,1.0796,16.8075,13.6544,9.167,0.5237,27.4721,17.3058,11.3546,0.6637,27.5399,16.745,11.053,0.6421,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 16.81 (vs Ensemble 27.47). Gana en 4/4 metricas. MASE=0.52 supera naive seasonal.
215,Depresión,region_Rural / dispersa,mujeres,85.9745,74.1585,20.5595,1.0528,37.1644,29.8073,6.9661,0.417,64.2549,43.6312,10.3024,0.6097,67.2364,43.2946,10.4886,0.605,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 37.16 (vs Ensemble 64.25). Gana en 4/4 metricas. MASE=0.42 supera naive seasonal.
216,Depresión,region_Rural / dispersa,general,118.4614,103.1072,20.9247,1.1199,55.5226,42.4826,7.2953,0.4539,90.1292,58.876,10.2764,0.6285,100.3896,62.9215,11.3884,0.6717,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 55.52 (vs Ensemble 90.13). Gana en 4/4 metricas. MASE=0.45 supera naive seasonal.
217,Depresión,region_Sur-Sureste vulnerable,hombres,20.6226,17.2841,24.7493,1.1979,15.6222,12.2297,12.9587,0.7529,26.9707,21.5626,22.8262,1.325,18.9395,14.9329,15.352,0.9176,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 15.62 (vs Stacking 18.94). Gana en 4/4 metricas. MASE=0.75 supera naive seasonal.
218,Depresión,region_Sur-Sureste vulnerable,mujeres,41.9293,33.5963,18.0574,0.8648,29.3672,20.8824,9.1055,0.4961,50.1881,42.8484,17.9842,1.0129,34.4883,26.6241,11.2881,0.6294,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 29.37 (vs Stacking 34.49). Gana en 4/4 metricas. MASE=0.50 supera naive seasonal.
219,Depresión,region_Sur-Sureste vulnerable,general,57.231,46.0508,18.0206,0.9274,45.3975,37.5545,11.4709,0.6903,74.4409,64.2024,19.5047,1.1751,46.9243,36.2631,11.0009,0.6637,DeepAR,Stacking,Stacking,Stacking,3/4,Stacking,Stacking elegido por desempate MASE/MAE (RMSE 46.92 vs DeepAR 45.40). Gana en 3/4 metricas. MASE=0.66 supera naive seasonal.
