numero,padecimiento,entidad,sexo,prophet_rmse,prophet_mae,prophet_smape,prophet_mase,deepar_rmse,deepar_mae,deepar_smape,deepar_mase,ensemble_rmse,ensemble_mae,ensemble_smape,ensemble_mase,stacking_rmse,stacking_mae,stacking_smape,stacking_mase,mejor_rmse,mejor_mae,mejor_smape,mejor_mase,victorias,modelo_produccion,justificacion
104,Alzheimer,region_Rural / dispersa,mujeres,2.9694,2.4566,52.569,0.6881,1.1999,0.6121,15.7487,0.1801,2.3349,1.817,43.6845,0.5347,2.4199,1.8531,44.9344,0.5453,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 1.20 (vs Ensemble 2.33). Gana en 4/4 metricas. MASE=0.18 supera naive seasonal.
105,Alzheimer,region_Rural / dispersa,general,3.9178,3.3002,41.74,0.673,0.7121,0.3941,6.5352,0.0851,3.3467,2.594,37.9819,0.56,3.3318,2.5402,36.6461,0.5484,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 0.71 (vs Stacking 3.33). Gana en 4/4 metricas. MASE=0.09 supera naive seasonal.
106,Alzheimer,region_Sur-Sureste vulnerable,hombres,1.5965,1.2595,68.3025,0.7196,0.7742,0.3806,40.214,0.2186,1.3381,1.1321,66.6239,0.6515,1.3587,1.0125,65.2254,0.5827,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 0.77 (vs Ensemble 1.34). Gana en 4/4 metricas. MASE=0.22 supera naive seasonal.
107,Alzheimer,region_Sur-Sureste vulnerable,mujeres,1.8749,1.5329,59.5071,0.7032,1.0763,0.5506,42.2189,0.2599,1.9363,1.6368,72.6178,0.7725,1.8963,1.4716,72.1149,0.6946,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 1.08 (vs Prophet 1.87). Gana en 4/4 metricas. MASE=0.26 supera naive seasonal.
108,Alzheimer,region_Sur-Sureste vulnerable,general,2.4336,2.021,42.6122,0.6309,1.3857,0.6525,21.9618,0.213,2.6995,2.301,56.8995,0.7512,2.6077,2.0913,54.5137,0.6827,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 1.39 (vs Prophet 2.43). Gana en 4/4 metricas. MASE=0.21 supera naive seasonal.
109,Alzheimer,region_Urbana media,hombres,3.2132,2.5831,34.3984,0.5945,1.7241,0.8955,15.4417,0.2139,3.5314,2.7881,37.4863,0.6661,3.2607,2.5793,36.2273,0.6179,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 1.72 (vs Prophet 3.21). Gana en 4/4 metricas. MASE=0.21 supera naive seasonal.
110,Alzheimer,region_Urbana media,mujeres,4.2875,3.3987,27.9329,0.5819,0.7776,0.4072,3.3504,0.0732,4.1257,3.3845,27.426,0.6052,4.1144,3.2622,26.8266,0.5834,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 0.78 (vs Stacking 4.11). Gana en 4/4 metricas. MASE=0.07 supera naive seasonal.
111,Alzheimer,region_Urbana media,general,5.8316,4.6369,23.1486,0.5351,1.5695,0.803,4.5691,0.099,5.6784,4.7324,23.8291,0.5826,5.3853,4.2878,21.912,0.5279,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 1.57 (vs Stacking 5.39). Gana en 4/4 metricas. MASE=0.10 supera naive seasonal.
112,Depresión,Nacional,hombres,101.4405,86.512,12.6357,0.7583,147.3054,119.0003,16.3826,1.0325,156.1052,120.7775,15.7816,1.047,232.4054,195.1775,28.1787,1.6919,Prophet,Prophet,Prophet,Prophet,4/4,Prophet,Prophet domina con RMSE 101.44 (vs DeepAR 147.31). Gana en 4/4 metricas. MASE=0.76 supera naive seasonal.
113,Depresión,Nacional,mujeres,270.0428,225.8957,12.2794,0.7132,340.5302,300.0642,15.1411,0.9503,239.4196,146.3557,7.1073,0.4626,289.1227,199.2456,9.5542,0.6298,Ensemble,Ensemble,Ensemble,Ensemble,4/4,Ensemble,Ensemble domina con RMSE 239.42 (vs Prophet 270.04). Gana en 4/4 metricas. MASE=0.46 supera naive seasonal.
114,Depresión,Nacional,general,361.0998,305.7308,12.1624,0.7201,313.7437,262.0369,9.3482,0.6157,372.2314,251.8013,8.7468,0.5907,571.4408,460.9815,16.967,1.0814,DeepAR,Ensemble,Ensemble,Ensemble,1/4,DeepAR,DeepAR domina con RMSE 313.74 (vs Prophet 361.10). MASE=0.62 supera naive seasonal.
115,Depresión,Aguascalientes,hombres,3.693,2.8272,39.7672,0.5036,1.1598,0.5075,5.1889,0.1012,4.925,3.2936,33.9811,0.6517,4.9799,3.3935,35.4245,0.6715,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 1.16 (vs Prophet 3.69). Gana en 4/4 metricas. MASE=0.10 supera naive seasonal.
116,Depresión,Aguascalientes,mujeres,7.4048,6.0875,32.0827,0.4729,0.9164,0.5714,2.3618,0.0492,6.0554,4.8048,20.2831,0.4112,6.4662,5.116,21.4928,0.4379,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 0.92 (vs Ensemble 6.06). Gana en 4/4 metricas. MASE=0.05 supera naive seasonal.
117,Depresión,Aguascalientes,general,9.5576,7.8026,30.3099,0.4587,3.6531,1.2135,4.0256,0.0791,8.0427,5.9706,17.7047,0.3863,8.9926,6.7118,20.0546,0.4342,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 3.65 (vs Ensemble 8.04). Gana en 4/4 metricas. MASE=0.08 supera naive seasonal.
118,Depresión,Baja California,hombres,8.7286,6.9278,25.6191,0.7723,2.4747,1.4644,5.5974,0.1619,8.6407,6.7323,22.1475,0.7444,9.8418,7.8421,24.4751,0.8671,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 2.47 (vs Ensemble 8.64). Gana en 4/4 metricas. MASE=0.16 supera naive seasonal.
119,Depresión,Baja California,mujeres,13.593,10.9588,18.0723,0.6073,4.4,2.6808,3.632,0.1571,19.0014,13.0156,18.0825,0.7597,15.4413,10.7346,14.5533,0.6266,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 4.40 (vs Prophet 13.59). Gana en 4/4 metricas. MASE=0.16 supera naive seasonal.
120,Depresión,Baja California,general,20.0559,15.5431,17.6337,0.6245,4.5038,2.0411,2.0876,0.0854,27.4697,20.5882,20.7008,0.8592,20.5683,13.7475,12.9466,0.5737,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 4.50 (vs Prophet 20.06). Gana en 4/4 metricas. MASE=0.09 supera naive seasonal.
121,Depresión,Baja California Sur,hombres,6.214,5.363,66.781,1.5448,0.8937,0.3659,21.9923,0.0873,2.3522,1.939,55.6481,0.4628,2.5643,2.0655,62.972,0.493,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 0.89 (vs Ensemble 2.35). Gana en 4/4 metricas. MASE=0.09 supera naive seasonal.
122,Depresión,Baja California Sur,mujeres,6.4352,5.0355,36.2122,0.8768,2.9621,1.7839,18.0487,0.301,4.7269,3.6185,35.2664,0.6085,4.4758,3.0654,31.3763,0.5155,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 2.96 (vs Stacking 4.48). Gana en 4/4 metricas. MASE=0.30 supera naive seasonal.
123,Depresión,Baja California Sur,general,12.0889,9.8807,44.1617,1.2724,2.3229,1.0773,7.8186,0.123,5.8228,4.1885,30.6762,0.4779,6.0307,4.5178,34.5849,0.5155,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 2.32 (vs Ensemble 5.82). Gana en 4/4 metricas. MASE=0.12 supera naive seasonal.
124,Depresión,Campeche,hombres,3.2219,2.5946,38.2552,0.8016,2.6717,1.1959,12.807,0.3592,4.2007,3.1475,36.1169,0.9437,3.8694,2.9376,33.7507,0.8808,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 2.67 (vs Prophet 3.22). Gana en 4/4 metricas. MASE=0.36 supera naive seasonal.
125,Depresión,Campeche,mujeres,6.1535,4.8331,28.764,0.7369,2.8578,1.5367,7.0586,0.2315,8.178,6.4537,28.6738,0.9722,8.1177,6.4525,28.5986,0.9721,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 2.86 (vs Prophet 6.15). Gana en 4/4 metricas. MASE=0.23 supera naive seasonal.
126,Depresión,Campeche,general,7.5007,5.8708,25.0966,0.7052,3.9169,1.9346,5.9244,0.2315,10.7441,8.7103,28.4913,1.0409,10.1951,8.4589,27.5604,1.0109,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 3.92 (vs Prophet 7.50). Gana en 4/4 metricas. MASE=0.23 supera naive seasonal.
127,Depresión,Chiapas,hombres,5.0825,4.0307,40.7536,1.1047,2.3644,1.3918,10.8442,0.3491,7.5475,6.0099,42.8736,1.5046,5.3359,4.2862,28.6506,1.0731,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 2.36 (vs Prophet 5.08). Gana en 4/4 metricas. MASE=0.35 supera naive seasonal.
