padecimiento,sexo,rmse,mae,mape,mase,mape_confiable,seasonality_mode,changepoint_prior_scale,seasonality_prior_scale,nivel,confianza,promedio_semanal,tiempo_cv_seg,tiempo_train_seg,tiempo_total_seg,poblacion,normalizado,archivo_modelo,Entidad
Depresión,incrementos_mujeres,0.20953682227548448,0.15544411576233805,14.21164531252701,0.7322689335216165,True,additive,0.01,0.1,regional,normal,259.42,162.7,2.1,164.9,9209944,True,Prophet_Depresion_Ciudad_de_Mexico_mujeres.pkl,Ciudad de México
Depresión,incrementos_total,0.22122631852932698,0.15739740659683946,11.876427075837793,0.7297510934178219,True,additive,0.01,0.5,regional,normal,353.34,159.6,2.1,161.6,9209944,True,Prophet_Depresion_Ciudad_de_Mexico_general.pkl,Ciudad de México
Depresión,incrementos_hombres,0.1783586670213102,0.14648749730591898,64.76893388419457,1.0199892107783124,True,additive,0.05,0.025,regional,normal,9.28,161.1,3.0,164.2,3146771,True,Prophet_Depresion_Coahuila_hombres.pkl,Coahuila
Depresión,incrementos_mujeres,0.22135641820369628,0.1799195722644162,33.424428501384774,0.6427540559923569,True,multiplicative,0.05,0.1,regional,normal,25.89,161.0,2.8,163.8,3146771,True,Prophet_Depresion_Coahuila_mujeres.pkl,Coahuila
Depresión,incrementos_total,0.26249568615935487,0.2171071941500076,30.059877398996207,0.6630595720253198,True,additive,0.05,0.05,regional,normal,35.17,153.0,2.2,155.2,3146771,True,Prophet_Depresion_Coahuila_general.pkl,Coahuila
Depresión,incrementos_hombres,0.3617997864979244,0.29938712950219176,43.53873203538171,1.2138047720160883,True,additive,0.05,0.05,regional,normal,7.52,139.9,1.8,141.7,731391,True,Prophet_Depresion_Colima_hombres.pkl,Colima
Depresión,incrementos_mujeres,0.3459256470193255,0.28538148395733515,22.288028112298644,0.8727072591695457,True,multiplicative,0.01,0.05,regional,normal,20.94,161.5,2.0,163.5,731391,True,Prophet_Depresion_Colima_mujeres.pkl,Colima
Depresión,incrementos_total,0.38786449996324407,0.32149908964400276,19.446405333610908,0.9634734780070534,True,additive,0.05,0.025,regional,normal,28.45,169.8,2.0,171.8,731391,True,Prophet_Depresion_Colima_general.pkl,Colima
Depresión,incrementos_hombres,0.18871946824308314,0.15478103219133724,27.761818906666672,0.7130491028049816,True,additive,0.05,0.05,regional,normal,18.32,160.1,1.8,161.9,1832650,True,Prophet_Depresion_Durango_hombres.pkl,Durango
Depresión,incrementos_mujeres,0.284041317606141,0.23809063105383524,18.34920613322552,0.8679399169079025,True,multiplicative,0.03,0.025,regional,normal,59.33,175.1,2.5,177.6,1832650,True,Prophet_Depresion_Durango_mujeres.pkl,Durango
Depresión,incrementos_total,0.29244713068708517,0.2336687892526017,16.394216445919145,0.8136970749626105,True,additive,0.03,0.5,regional,normal,77.65,166.0,1.5,167.4,1832650,True,Prophet_Depresion_Durango_general.pkl,Durango
Depresión,incrementos_hombres,0.08628716578317307,0.07008363329218899,27.33422885283262,0.9278096271747971,True,multiplicative,0.01,0.025,regional,normal,13.36,136.2,1.5,137.7,6166934,True,Prophet_Depresion_Guanajuato_hombres.pkl,Guanajuato
Depresión,incrementos_mujeres,0.17009084525198986,0.13303204197602495,18.30609720287079,0.7982056050992539,True,multiplicative,0.01,0.5,regional,normal,49.8,142.7,2.5,145.2,6166934,True,Prophet_Depresion_Guanajuato_mujeres.pkl,Guanajuato
Depresión,incrementos_total,0.18088387831533032,0.14258455442203677,16.761526787844282,0.7742602633501405,True,multiplicative,0.01,0.1,regional,normal,63.16,137.6,2.9,140.5,6166934,True,Prophet_Depresion_Guanajuato_general.pkl,Guanajuato
Depresión,incrementos_hombres,0.13777730449180017,0.11133957711189948,396.0915192240456,0.8720392777146938,True,additive,0.03,0.5,regional,normal,8.45,127.4,1.9,129.2,3540685,True,Prophet_Depresion_Guerrero_hombres.pkl,Guerrero
Depresión,incrementos_mujeres,0.22564315203897575,0.18239448927224153,51.84038484681857,0.7380419130992231,True,additive,0.01,0.5,regional,normal,26.76,130.0,2.8,132.8,3540685,True,Prophet_Depresion_Guerrero_mujeres.pkl,Guerrero
Depresión,incrementos_total,0.2573377073811474,0.20471594742826418,45.08622404354883,0.7249003359185676,True,additive,0.01,0.1,regional,normal,35.21,130.3,2.3,132.6,3540685,True,Prophet_Depresion_Guerrero_general.pkl,Guerrero
Depresión,incrementos_hombres,0.09690212750719593,0.07793911316602967,387.70182563542454,0.6680434729534229,True,multiplicative,0.01,0.025,regional,normal,9.07,129.8,1.1,130.8,3082841,True,Prophet_Depresion_Hidalgo_hombres.pkl,Hidalgo
Depresión,incrementos_mujeres,0.2109031991401882,0.16917615547898374,23.567345400931817,0.8205080699525295,True,multiplicative,0.01,0.1,regional,normal,35.84,132.2,2.0,134.2,3082841,True,Prophet_Depresion_Hidalgo_mujeres.pkl,Hidalgo
Depresión,incrementos_total,0.21813185895756299,0.16658073545715732,22.03108797802673,0.7350886107827387,True,additive,0.01,0.05,regional,normal,44.91,136.5,1.9,138.3,3082841,True,Prophet_Depresion_Hidalgo_general.pkl,Hidalgo
Depresión,incrementos_hombres,0.11547520421796997,0.09308316245192312,19.932616728307323,0.7788859186654759,True,additive,0.05,0.5,regional,normal,48.07,142.1,1.9,144.0,8348151,True,Prophet_Depresion_Jalisco_hombres.pkl,Jalisco
Depresión,incrementos_mujeres,0.15353792894941273,0.11087018304993114,13.715632160251554,0.6734311799584959,True,multiplicative,0.01,0.025,regional,normal,126.85,142.6,1.7,144.3,8348151,True,Prophet_Depresion_Jalisco_mujeres.pkl,Jalisco
Depresión,incrementos_total,0.16643133941191585,0.12166425439804873,11.669535409017044,0.6616295416243921,True,multiplicative,0.01,0.1,regional,normal,174.92,144.4,2.7,147.1,8348151,True,Prophet_Depresion_Jalisco_general.pkl,Jalisco
Depresión,incrementos_hombres,0.1480159501356305,0.1218453381209171,29.639465008127704,1.0789415108791316,True,additive,0.03,0.025,regional,normal,19.72,121.4,2.4,123.8,4748846,True,Prophet_Depresion_Michoacan_hombres.pkl,Michoacán
Depresión,incrementos_mujeres,0.21077838335668847,0.17014274354168757,18.63413951994618,1.0741843832374203,True,additive,0.01,0.1,regional,normal,55.18,138.8,2.7,141.5,4748846,True,Prophet_Depresion_Michoacan_mujeres.pkl,Michoacán
Depresión,incrementos_total,0.22875005500437393,0.186637190916182,16.624362621908695,1.0377778326329565,True,multiplicative,0.01,0.5,regional,normal,74.9,132.7,3.1,135.8,4748846,True,Prophet_Depresion_Michoacan_general.pkl,Michoacán
Depresión,incrementos_hombres,0.1688690672041138,0.13088666828418724,37.45860799590115,0.623195212333003,True,multiplicative,0.01,0.05,regional,normal,11.15,108.6,1.8,110.4,1971520,True,Prophet_Depresion_Morelos_hombres.pkl,Morelos
Depresión,incrementos_mujeres,0.22365855526218548,0.17437255685770975,17.870831313919524,0.5564765322035183,True,multiplicative,0.05,0.1,regional,normal,38.72,127.3,2.2,129.5,1971520,True,Prophet_Depresion_Morelos_mujeres.pkl,Morelos
Depresión,incrementos_total,0.2325188267194322,0.18042147393233549,15.385108234750323,0.5295676320126802,True,additive,0.03,0.5,regional,normal,49.87,122.3,2.8,125.1,1971520,True,Prophet_Depresion_Morelos_general.pkl,Morelos
Depresión,incrementos_hombres,0.10661949065338046,0.08939153423865195,36.6872328798399,1.2568956917423695,True,additive,0.01,0.025,regional,normal,45.03,152.8,1.9,154.7,16992418,True,Prophet_Depresion_Mexico_hombres.pkl,México
Depresión,incrementos_mujeres,0.18364721073489174,0.1572564707912058,24.833593119455298,1.2153684545556633,True,additive,0.01,0.05,regional,normal,134.69,148.3,2.0,150.3,16992418,True,Prophet_Depresion_Mexico_mujeres.pkl,México
Depresión,incrementos_total,0.2142270471802367,0.18458277431799155,23.67019064820406,1.2192580749096107,True,additive,0.01,0.1,regional,normal,179.73,149.9,2.3,152.2,16992418,True,Prophet_Depresion_Mexico_general.pkl,México
Depresión,incrementos_hombres,0.2608603387185959,0.2070627040798894,236.01142296411732,0.7761562385047691,True,multiplicative,0.01,0.025,regional,normal,14.04,151.9,1.7,153.6,1235456,True,Prophet_Depresion_Nayarit_hombres.pkl,Nayarit
