ds,y
2013-12-30,0
2014-01-06,2
2014-01-13,1
2014-01-20,4
2014-01-27,13
2014-02-03,2
2014-02-10,4
2014-02-17,7
2014-02-24,11
2014-03-03,5
2014-03-10,12
2014-03-17,11
2014-03-24,5
2014-03-31,12
2014-04-07,5
2014-04-14,5
2014-04-21,8
2014-04-28,9
2014-05-05,2
2014-05-12,3
2014-05-19,3
2014-05-26,11
2014-06-02,10
2014-06-09,7
2014-06-16,3
2014-06-23,3
2014-06-30,8
2014-07-07,4
2014-07-14,1
2014-07-21,2
2014-07-28,4
2014-08-04,2
2014-08-11,4
2014-08-18,4
2014-08-25,1
2014-09-01,7
2014-09-08,0
2014-09-15,1
2014-09-22,5
2014-09-29,6
2014-10-06,4
2014-10-13,2
2014-10-20,3
2014-10-27,2
2014-11-03,1
2014-11-10,2
2014-11-17,5
2014-11-24,2
2014-12-01,2
2014-12-08,2
2014-12-15,4
2014-12-22,0
2014-12-29,6
2015-01-05,6
2015-01-12,5
2015-01-19,2
2015-01-26,4
2015-02-02,1
2015-02-09,3
2015-02-16,2
2015-02-23,18
2015-03-02,2
2015-03-09,1
2015-03-16,7
2015-03-23,4
2015-03-30,8
2015-04-06,7
2015-04-13,7
2015-04-20,3
2015-04-27,9
2015-05-04,9
2015-05-11,9
2015-05-18,6
2015-05-25,4
2015-06-01,7
2015-06-08,5
2015-06-15,13
2015-06-22,4
2015-06-29,5
2015-07-06,8
2015-07-13,4
2015-07-20,6
2015-07-27,7
2015-08-03,15
2015-08-10,21
2015-08-17,11
2015-08-24,8
2015-08-31,9
2015-09-07,12
2015-09-14,14
2015-09-21,18
2015-09-28,4
2015-10-05,3
2015-10-12,8
2015-10-19,4
2015-10-26,1
2015-11-02,6
2015-11-09,5
2015-11-16,7
2015-11-23,9
2015-11-30,5
2015-12-07,5
2015-12-14,1
2015-12-21,0
2016-01-04,8
2016-01-11,4
2016-01-18,7
2016-01-25,8
2016-02-01,6
2016-02-08,14
2016-02-15,8
2016-02-22,5
2016-02-29,5
2016-03-07,5
2016-03-14,9
2016-03-21,0
2016-03-28,8
2016-04-04,10
2016-04-11,11
2016-04-18,6
2016-04-25,6
2016-05-02,7
2016-05-09,10
2016-05-16,10
2016-05-23,13
2016-05-30,18
2016-06-06,17
2016-06-13,8
2016-06-20,2
2016-06-27,12
2016-07-04,5
2016-07-11,7
2016-07-18,7
2016-07-25,3
2016-08-01,14
2016-08-08,12
2016-08-15,6
2016-08-22,4
2016-08-29,7
2016-09-05,11
2016-09-12,7
2016-09-19,2
2016-09-26,3
2016-10-03,5
2016-10-10,6
2016-10-17,3
2016-10-24,5
2016-10-31,4
2016-11-07,4
2016-11-14,2
2016-11-21,11
2016-11-28,6
2016-12-05,5
2016-12-12,5
2016-12-19,2
2016-12-26,3
2017-01-02,5
2017-01-09,11
2017-01-16,12
2017-01-23,10
2017-01-30,14
2017-02-06,7
2017-02-13,9
2017-02-20,14
2017-02-27,8
2017-03-06,3
2017-03-13,9
2017-03-20,17
2017-03-27,8
2017-04-03,7
2017-04-10,5
2017-04-17,10
2017-04-24,6
2017-05-01,4
2017-05-08,8
2017-05-15,9
2017-05-22,6
2017-05-29,5
2017-06-05,6
2017-06-12,5
2017-06-19,1
2017-06-26,11
2017-07-03,5
2017-07-10,3
2017-07-17,7
2017-07-24,7
2017-07-31,5
2017-08-07,5
2017-08-14,6
2017-08-21,5
2017-08-28,7
2017-09-04,9
2017-09-11,10
2017-09-18,2
2017-09-25,7
2017-10-02,8
2017-10-09,9
2017-10-16,54
2017-10-23,6
2017-10-30,5
2017-11-06,7
2017-11-13,7
2017-11-20,13
2017-11-27,4
2017-12-04,6
2017-12-11,4
2017-12-18,4
2017-12-25,7
2018-01-01,4
2018-01-08,13
2018-01-15,3
2018-01-22,5
2018-01-29,4
2018-02-05,2
2018-02-12,10
2018-02-19,11
2018-02-26,18
2018-03-05,8
2018-03-12,12
2018-03-19,8
2018-03-26,9
2018-04-02,13
2018-04-09,8
2018-04-16,7
2018-04-23,5
2018-04-30,5
2018-05-07,1
2018-05-14,7
2018-05-21,7
2018-05-28,8
2018-06-04,5
2018-06-11,8
2018-06-18,10
2018-06-25,8
2018-07-02,7
2018-07-09,4
2018-07-16,11
2018-07-23,4
2018-07-30,12
2018-08-06,10
2018-08-13,5
2018-08-20,4
2018-08-27,12
2018-09-03,5
2018-09-10,8
2018-09-17,17
2018-09-24,5
2018-10-01,8
2018-10-08,11
2018-10-15,8
2018-10-22,4
2018-10-29,2
2018-11-05,5
2018-11-12,11
2018-11-19,10
2018-11-26,6
2018-12-03,2
2018-12-10,2
2018-12-17,3
2018-12-24,2
2018-12-31,2
2019-01-07,2
2019-01-14,11
2019-01-21,9
2019-01-28,17
2019-02-04,11
2019-02-11,8
2019-02-18,10
2019-02-25,3
2019-03-04,6
2019-03-11,13
2019-03-18,8
2019-03-25,0
2019-04-01,11
2019-04-08,18
2019-04-15,5
2019-04-22,7
2019-04-29,3
2019-05-06,10
2019-05-13,6
2019-05-20,11
2019-05-27,11
2019-06-03,19
2019-06-10,18
2019-06-17,9
2019-06-24,8
2019-07-01,7
2019-07-08,17
2019-07-15,12
2019-07-22,14
2019-07-29,24
2019-08-05,17
2019-08-12,15
2019-08-19,15
2019-08-26,10
2019-09-02,18
2019-09-09,12
2019-09-16,4
2019-09-23,18
2019-09-30,13
2019-10-07,13
2019-10-14,16
2019-10-21,10
2019-10-28,3
2019-11-04,27
2019-11-11,9
2019-11-18,10
2019-11-25,10
2019-12-02,15
2019-12-09,21
2019-12-16,3
2019-12-23,9
2019-12-30,11
2020-01-06,9
2020-01-13,11
2020-01-20,11
2020-01-27,17
2020-02-03,13
2020-02-10,6
2020-02-17,30
2020-02-24,17
2020-03-02,19
2020-03-09,18
2020-03-16,11
2020-03-23,13
2020-03-30,5
2020-04-06,10
2020-04-13,4
2020-04-20,3
2020-04-27,10
2020-05-04,6
2020-05-11,7
2020-05-18,12
2020-05-25,6
2020-06-01,2
2020-06-08,3
2020-06-15,12
2020-06-22,3
2020-06-29,8
2020-07-06,9
2020-07-13,4
2020-07-20,6
2020-07-27,8
2020-08-03,7
2020-08-10,8
2020-08-17,9
2020-08-24,8
2020-08-31,10
2020-09-07,5
2020-09-14,6
2020-09-21,9
2020-09-28,5
2020-10-05,4
2020-10-12,3
2020-10-19,7
2020-10-26,1
2020-11-02,9
2020-11-09,3
2020-11-16,5
2020-11-23,6
2020-11-30,2
2020-12-07,6
2020-12-14,1
2020-12-21,3
2020-12-28,1
2021-01-04,4
2021-01-11,0
2021-01-18,0
2021-01-25,3
2021-02-01,3
2021-02-08,5
2021-02-15,4
2021-02-22,4
2021-03-01,7
2021-03-08,8
2021-03-15,12
2021-03-22,7
2021-03-29,9
2021-04-05,1
2021-04-12,15
2021-04-19,16
2021-04-26,15
2021-05-03,9
2021-05-10,9
2021-05-17,35
2021-05-24,12
2021-05-31,9
2021-06-07,4
2021-06-14,7
2021-06-21,10
2021-06-28,18
2021-07-05,14
2021-07-12,8
2021-07-19,12
2021-07-26,52
2021-08-02,11
2021-08-09,13
2021-08-16,12
2021-08-23,8
