padecimiento,sexo,rmse,seasonality_mode,changepoint_prior_scale,seasonality_prior_scale,nivel,archivo_modelo,Entidad
Depresión,incrementos_total,20.489618769828617,additive,0.1,5.0,regional,Prophet_Depresion_Guerrero_general_20260216.pkl,Guerrero
Depresión,incrementos_hombres,3.7548982019186385,multiplicative,0.01,1.0,regional,Prophet_Depresion_Hidalgo_hombres_20260216.pkl,Hidalgo
Depresión,incrementos_mujeres,13.371417903150043,multiplicative,0.01,1.0,regional,Prophet_Depresion_Hidalgo_mujeres_20260216.pkl,Hidalgo
Depresión,incrementos_total,14.542407206242046,multiplicative,0.01,5.0,regional,Prophet_Depresion_Hidalgo_general_20260216.pkl,Hidalgo
Depresión,incrementos_hombres,15.547209748211827,additive,0.1,5.0,regional,Prophet_Depresion_Jalisco_hombres_20260216.pkl,Jalisco
Depresión,incrementos_mujeres,28.401290941560983,additive,0.01,0.1,regional,Prophet_Depresion_Jalisco_mujeres_20260216.pkl,Jalisco
Depresión,incrementos_total,38.993451605296976,additive,0.01,5.0,regional,Prophet_Depresion_Jalisco_general_20260216.pkl,Jalisco
Depresión,incrementos_hombres,9.844699765965242,multiplicative,0.1,1.0,regional,Prophet_Depresion_Michoacan_hombres_20260216.pkl,Michoacán
Depresión,incrementos_mujeres,20.827029743685184,multiplicative,0.1,1.0,regional,Prophet_Depresion_Michoacan_mujeres_20260216.pkl,Michoacán
Depresión,incrementos_total,28.20897088648097,multiplicative,0.1,0.1,regional,Prophet_Depresion_Michoacan_general_20260216.pkl,Michoacán
Depresión,incrementos_hombres,5.862346036874802,additive,0.01,5.0,regional,Prophet_Depresion_Morelos_hombres_20260216.pkl,Morelos
Depresión,incrementos_mujeres,13.3707506598802,multiplicative,0.05,1.0,regional,Prophet_Depresion_Morelos_mujeres_20260216.pkl,Morelos
Depresión,incrementos_total,17.152613021607685,multiplicative,0.05,5.0,regional,Prophet_Depresion_Morelos_general_20260216.pkl,Morelos
Depresión,incrementos_hombres,24.449861333206773,additive,0.01,0.1,regional,Prophet_Depresion_Mexico_hombres_20260216.pkl,México
Depresión,incrementos_mujeres,61.60828184611478,additive,0.01,5.0,regional,Prophet_Depresion_Mexico_mujeres_20260216.pkl,México
Depresión,incrementos_total,83.84534794757829,multiplicative,0.01,0.1,regional,Prophet_Depresion_Mexico_general_20260216.pkl,México
Depresión,incrementos_hombres,8.550929324778746,additive,0.01,5.0,regional,Prophet_Depresion_Nayarit_hombres_20260216.pkl,Nayarit
Depresión,incrementos_mujeres,22.88957740613055,additive,0.01,0.1,regional,Prophet_Depresion_Nayarit_mujeres_20260216.pkl,Nayarit
Depresión,incrementos_total,30.39457601161867,additive,0.01,1.0,regional,Prophet_Depresion_Nayarit_general_20260216.pkl,Nayarit
Depresión,incrementos_hombres,8.57947345633937,additive,0.1,5.0,regional,Prophet_Depresion_Nuevo_Leon_hombres_20260216.pkl,Nuevo León
Depresión,incrementos_mujeres,20.75052783258198,additive,0.1,0.1,regional,Prophet_Depresion_Nuevo_Leon_mujeres_20260216.pkl,Nuevo León
Depresión,incrementos_total,26.581272822930853,multiplicative,0.01,1.0,regional,Prophet_Depresion_Nuevo_Leon_general_20260216.pkl,Nuevo León
Depresión,incrementos_hombres,5.138271514588865,additive,0.1,5.0,regional,Prophet_Depresion_Oaxaca_hombres_20260216.pkl,Oaxaca
Depresión,incrementos_mujeres,11.79273091229132,additive,0.05,1.0,regional,Prophet_Depresion_Oaxaca_mujeres_20260216.pkl,Oaxaca
Depresión,incrementos_total,14.024193280009122,multiplicative,0.1,5.0,regional,Prophet_Depresion_Oaxaca_general_20260216.pkl,Oaxaca
Depresión,incrementos_hombres,12.441270084535006,additive,0.01,5.0,regional,Prophet_Depresion_Puebla_hombres_20260216.pkl,Puebla
Depresión,incrementos_mujeres,28.188570721409043,additive,0.01,1.0,regional,Prophet_Depresion_Puebla_mujeres_20260216.pkl,Puebla
Depresión,incrementos_total,36.55583051463285,additive,0.01,1.0,regional,Prophet_Depresion_Puebla_general_20260216.pkl,Puebla
Depresión,incrementos_hombres,2.461877218736369,multiplicative,0.1,0.1,regional,Prophet_Depresion_Queretaro_hombres_20260216.pkl,Querétaro
Depresión,incrementos_mujeres,7.419917649807323,additive,0.01,5.0,regional,Prophet_Depresion_Queretaro_mujeres_20260216.pkl,Querétaro
Depresión,incrementos_total,8.430424206465021,additive,0.01,1.0,regional,Prophet_Depresion_Queretaro_general_20260216.pkl,Querétaro
Depresión,incrementos_hombres,4.1739662487996805,additive,0.01,1.0,regional,Prophet_Depresion_Quintana_Roo_hombres_20260216.pkl,Quintana Roo
Depresión,incrementos_mujeres,7.696282061861145,multiplicative,0.01,0.1,regional,Prophet_Depresion_Quintana_Roo_mujeres_20260216.pkl,Quintana Roo
Depresión,incrementos_total,10.252218343129808,multiplicative,0.01,0.1,regional,Prophet_Depresion_Quintana_Roo_general_20260216.pkl,Quintana Roo
Depresión,incrementos_hombres,5.591250142775204,multiplicative,0.05,0.1,regional,Prophet_Depresion_San_Luis_Potosi_hombres_20260216.pkl,San Luis Potosí
Depresión,incrementos_mujeres,12.749534147598906,additive,0.1,1.0,regional,Prophet_Depresion_San_Luis_Potosi_mujeres_20260216.pkl,San Luis Potosí
Depresión,incrementos_total,15.657964814686844,multiplicative,0.1,5.0,regional,Prophet_Depresion_San_Luis_Potosi_general_20260216.pkl,San Luis Potosí
Depresión,incrementos_hombres,6.789712188133787,multiplicative,0.05,1.0,regional,Prophet_Depresion_Sinaloa_hombres_20260216.pkl,Sinaloa
Depresión,incrementos_mujeres,15.113746218791562,additive,0.05,5.0,regional,Prophet_Depresion_Sinaloa_mujeres_20260216.pkl,Sinaloa
Depresión,incrementos_total,19.29175119468389,multiplicative,0.1,1.0,regional,Prophet_Depresion_Sinaloa_general_20260216.pkl,Sinaloa
Depresión,incrementos_hombres,7.089404439625833,multiplicative,0.01,0.1,regional,Prophet_Depresion_Sonora_hombres_20260216.pkl,Sonora
Depresión,incrementos_mujeres,16.500230949680507,additive,0.01,0.1,regional,Prophet_Depresion_Sonora_mujeres_20260216.pkl,Sonora
Depresión,incrementos_total,21.662008203803495,multiplicative,0.1,0.1,regional,Prophet_Depresion_Sonora_general_20260216.pkl,Sonora
Depresión,incrementos_hombres,12.265698905973228,additive,0.05,5.0,regional,Prophet_Depresion_Tabasco_hombres_20260216.pkl,Tabasco
Depresión,incrementos_mujeres,22.8354929084464,additive,0.01,1.0,regional,Prophet_Depresion_Tabasco_mujeres_20260216.pkl,Tabasco
Depresión,incrementos_total,32.870774412800735,additive,0.01,5.0,regional,Prophet_Depresion_Tabasco_general_20260216.pkl,Tabasco
Depresión,incrementos_hombres,8.539941974675328,multiplicative,0.05,0.1,regional,Prophet_Depresion_Tamaulipas_hombres_20260216.pkl,Tamaulipas
Depresión,incrementos_mujeres,16.047921991485072,additive,0.01,1.0,regional,Prophet_Depresion_Tamaulipas_mujeres_20260216.pkl,Tamaulipas
Depresión,incrementos_total,22.843613918955427,additive,0.01,1.0,regional,Prophet_Depresion_Tamaulipas_general_20260216.pkl,Tamaulipas
Depresión,incrementos_hombres,2.988545607778499,additive,0.01,1.0,regional,Prophet_Depresion_Tlaxcala_hombres_20260216.pkl,Tlaxcala
Depresión,incrementos_mujeres,6.427386189734012,additive,0.01,0.1,regional,Prophet_Depresion_Tlaxcala_mujeres_20260216.pkl,Tlaxcala
Depresión,incrementos_total,7.930485242827179,additive,0.01,1.0,regional,Prophet_Depresion_Tlaxcala_general_20260216.pkl,Tlaxcala
Depresión,incrementos_hombres,8.473825548815267,multiplicative,0.01,0.1,regional,Prophet_Depresion_Veracruz_hombres_20260216.pkl,Veracruz
Depresión,incrementos_mujeres,22.84043772086794,multiplicative,0.1,5.0,regional,Prophet_Depresion_Veracruz_mujeres_20260216.pkl,Veracruz
Depresión,incrementos_total,27.596083306245404,multiplicative,0.1,5.0,regional,Prophet_Depresion_Veracruz_general_20260216.pkl,Veracruz
Depresión,incrementos_hombres,6.499228147631569,multiplicative,0.1,1.0,regional,Prophet_Depresion_Yucatan_hombres_20260216.pkl,Yucatán
Depresión,incrementos_mujeres,14.25583991169744,multiplicative,0.1,0.1,regional,Prophet_Depresion_Yucatan_mujeres_20260216.pkl,Yucatán
Depresión,incrementos_total,17.969656275251715,multiplicative,0.1,1.0,regional,Prophet_Depresion_Yucatan_general_20260216.pkl,Yucatán
Depresión,incrementos_hombres,4.51222004300116,multiplicative,0.01,1.0,regional,Prophet_Depresion_Zacatecas_hombres_20260216.pkl,Zacatecas
Depresión,incrementos_mujeres,9.559675329443397,multiplicative,0.01,5.0,regional,Prophet_Depresion_Zacatecas_mujeres_20260216.pkl,Zacatecas
Depresión,incrementos_total,12.69541994278015,multiplicative,0.01,0.1,regional,Prophet_Depresion_Zacatecas_general_20260216.pkl,Zacatecas
