entidad,modo,sem_min,sem_max,n_sem,oos_prophet,mase_prophet,oos_deepar,mase_deepar,oos_ensemble,mase_ensemble,oos_stacking,mase_stacking
Aguascalientes,general,3,18,16,23.081224099706255,0.7266666666666667,26.91517809591405,0.8533333333333334,27.70372710015834,0.8933333333333333,23.41235115262466,0.74
Aguascalientes,hombres,3,18,16,26.744758509464393,0.5686274509803921,40.47890705785443,0.8235294117647058,38.498273312514804,0.9411764705882353,25.604691146486815,0.5490196078431373
Aguascalientes,mujeres,3,18,16,26.980519323377393,0.5947712418300654,36.15454498361841,0.8235294117647058,30.5474426497651,0.6928104575163399,26.708201467469483,0.5882352941176471
Baja California,general,3,18,16,11.261067971719472,0.8888888888888888,16.160742261384723,1.357487922705314,8.90782891140712,0.7053140096618358,12.093066077097749,0.9806763285024155
Baja California,hombres,3,18,16,22.20493341622161,0.7361111111111112,19.84595628803173,0.6458333333333334,22.875534188305373,0.7569444444444444,28.564922390337756,1.0
Baja California,mujeres,3,18,16,12.78289643766952,0.6818181818181818,18.350669016390086,0.9545454545454546,12.37290992791321,0.6636363636363637,11.72864048041809,0.6318181818181818
Baja California Sur,general,3,18,16,43.10311231817767,1.1111111111111112,38.544893360038564,0.8888888888888888,34.50533586545822,0.8148148148148148,34.10707165575103,0.7654320987654321
Baja California Sur,hombres,3,18,16,107.80618686868686,1.625,85.91810966810966,0.875,68.10335497835499,0.5833333333333334,64.12698412698413,0.5625
Baja California Sur,mujeres,3,18,16,38.64134657612918,0.6086956521739131,41.730230819904726,0.6739130434782609,40.485519326547724,0.6413043478260869,37.97538028482638,0.5760869565217391
Campeche,general,3,18,16,20.326420432718052,0.7163120567375887,26.764678845217087,1.0212765957446808,23.107202997721814,0.8156028368794326,21.54208459027835,0.7659574468085106
Campeche,hombres,3,18,16,31.106122600982278,0.6557377049180327,33.704241664767984,0.7704918032786885,38.2504810291188,0.7868852459016393,29.275152358634323,0.6065573770491803
Campeche,mujeres,3,18,16,22.913803487807982,0.7777777777777778,29.23616695360871,1.0555555555555556,25.132837687138696,0.8518518518518519,23.903817764243172,0.8148148148148148
Chiapas,general,3,18,16,21.180573594052298,1.4472049689440993,23.67508116584162,1.3788819875776397,22.02857952975801,1.3043478260869565,24.626326559617123,1.6956521739130435
Chiapas,hombres,3,18,16,22.172164011376807,0.7093023255813954,49.70254756613504,1.4534883720930232,38.69263290845099,1.0930232558139534,21.22687344906149,0.686046511627907
Chiapas,mujeres,3,18,16,15.326586982794922,0.7595628415300546,24.435117045244574,1.0874316939890711,27.821159063017376,1.278688524590164,31.839620200534252,1.715846994535519
Chihuahua,general,3,18,16,15.181133673427786,0.9207650273224044,15.102122768660895,0.9180327868852459,14.396412286488705,0.8770491803278688,16.84028714893791,1.0136612021857923
Chihuahua,hombres,3,18,16,19.77665788930354,0.9022556390977443,25.9669123571724,1.2706766917293233,33.36096102456742,1.4360902255639099,24.029911284465094,1.0827067669172932
Chihuahua,mujeres,3,18,16,14.473278379905064,0.8526315789473684,15.818396967868123,0.9192982456140351,13.85321149785411,0.8245614035087719,14.812100449546634,0.8771929824561403
Ciudad de México,general,3,18,16,14.194937724474965,0.6677148846960168,19.932726024740184,0.8962264150943396,18.967065190315367,0.8773584905660378,39.50223613134911,1.6168763102725368
Ciudad de México,hombres,3,18,16,18.79734039610918,0.7906197654941374,14.683919492897626,0.6465661641541038,27.968741218775783,1.1306532663316582,25.195076573847718,1.031825795644891
Ciudad de México,mujeres,3,18,16,18.33807048025663,0.7501538461538462,26.77153014880553,1.0375384615384615,19.775052129109262,0.8116923076923077,42.25432887848839,1.515076923076923
Coahuila,general,3,18,16,20.858480098813764,0.9223300970873787,34.62547336958667,1.4660194174757282,19.695618809782,0.8640776699029126,29.478312923200257,1.2718446601941749
Coahuila,hombres,3,18,16,30.417502193475276,1.1805555555555556,29.051367737128924,1.0833333333333333,30.674835352693965,1.1944444444444444,35.448529090397805,1.3611111111111112
Coahuila,mujeres,3,18,16,17.025148445180427,0.650887573964497,21.38750700760057,0.834319526627219,18.226560779525702,0.6982248520710059,28.90956690899511,1.0591715976331362
Colima,general,3,18,16,42.711149295744924,1.0132013201320131,23.745745283413143,0.45874587458745875,26.857496903451604,0.5412541254125413,68.19237443402622,2.033003300330033
Colima,hombres,3,18,16,58.33445873791652,1.1056910569105691,37.424882910790515,0.5853658536585366,57.43225291749603,0.8943089430894309,80.34153160300352,1.991869918699187
Colima,mujeres,3,18,16,36.746479780845284,0.9257425742574258,34.33645657785179,0.801980198019802,30.568197888671868,0.7227722772277227,55.378190391750024,1.618811881188119
Durango,general,3,18,16,26.33588639598008,0.6609294320137694,26.747472556079327,0.6781411359724613,24.831599382636014,0.6230636833046471,23.03993322523063,0.5817555938037866
Durango,hombres,3,18,16,35.83346569077144,0.7474226804123711,29.067235689291437,0.6134020618556701,33.644751118120475,0.711340206185567,34.33430987709051,0.7216494845360825
Durango,mujeres,3,18,16,32.9434844426077,0.8185745140388769,46.239942774659745,1.0496760259179265,30.008415862098715,0.7473002159827213,27.859739215219072,0.6976241900647948
Guanajuato,general,3,18,16,33.87895984550351,1.8132183908045978,12.399430625557379,0.5574712643678161,34.56760046317305,1.8362068965517242,29.009393978605463,1.4798850574712643
Guanajuato,hombres,3,18,16,37.38063864219201,1.126984126984127,31.728398527275903,0.8809523809523809,27.736102914429285,0.746031746031746,34.02180292704927,0.9761904761904762
Guanajuato,mujeres,3,18,16,32.778236735357915,1.6109215017064846,20.208434818837386,0.9078498293515358,34.62733430492321,1.7235494880546076,28.62783684363147,1.3583617747440273
Guerrero,general,3,18,16,23.531522245635834,0.8740157480314961,25.887691162732875,0.9566929133858267,22.674445987955426,0.8031496062992126,20.124605753349282,0.7244094488188977
Guerrero,hombres,3,18,16,32.14897828983051,0.7383177570093458,30.47200547152379,0.7009345794392523,31.03388610680875,0.7102803738317757,30.278508829593708,0.6915887850467289
Guerrero,mujeres,3,18,16,24.36638501820293,0.7086330935251799,24.374851116248227,0.7985611510791367,39.08392773556113,1.0719424460431655,27.996090134455333,0.8093525179856115
Hidalgo,general,3,18,16,18.01642547031031,0.584045584045584,21.635965417232267,0.7094017094017094,19.27306928984531,0.6381766381766382,18.865579933921094,0.6239316239316239
Hidalgo,hombres,3,18,16,27.997824044863023,0.6770833333333334,28.59213286716174,0.6979166666666666,38.64442847951094,0.8645833333333334,41.99200866776768,0.9270833333333334
Hidalgo,mujeres,3,18,16,19.889821125829997,0.5836065573770491,22.068903970742344,0.6622950819672131,23.663608710692507,0.6950819672131148,22.759397505528074,0.6688524590163935
Jalisco,general,3,18,16,14.057797185181625,0.44790652385589097,21.27627887074375,0.6893865628042843,8.527912636626834,0.27848101265822783,17.445420311053034,0.5511197663096398
Jalisco,hombres,3,18,16,21.102717036042794,0.673972602739726,22.432781756463203,0.7013698630136986,27.788823327028545,0.8575342465753425,26.860791998872912,0.8356164383561644
Jalisco,mujeres,3,18,16,14.803853366059974,0.4296675191815857,20.438425892386157,0.5895140664961637,10.65074723636219,0.31841432225063937,15.415937524612634,0.45012787723785164
Michoacán,general,3,18,16,56.279255357702276,1.1178451178451179,36.626416574829804,0.5925925925925926,60.85116725319851,1.228956228956229,85.61886953827586,2.1784511784511786
Michoacán,hombres,3,18,16,41.83996851482521,0.7841726618705036,39.36111318819463,0.7050359712230215,49.298030003511066,0.9676258992805755,67.93145804326076,1.5827338129496402
