entidad,modo,regional,OOS::prophet+deepar+ensemble+stacking,sel::prophet+deepar+ensemble+stacking,OOS::deepar+ensemble+stacking,sel::deepar+ensemble+stacking,OOS::prophet+ensemble+stacking,sel::prophet+ensemble+stacking,OOS::prophet+deepar+stacking,sel::prophet+deepar+stacking,OOS::prophet+deepar+ensemble,sel::prophet+deepar+ensemble,OOS::prophet,sel::prophet,OOS::deepar,sel::deepar,OOS::ensemble,sel::ensemble,OOS::stacking,sel::stacking
Sinaloa,general,False,24.299219690157955,deepar,24.299219690157955,deepar,29.28939274525867,ensemble,24.299219690157955,deepar,24.299219690157955,deepar,24.731812857057434,prophet,24.299219690157955,deepar,29.28939274525867,ensemble,38.93453307564233,stacking
Sonora,hombres,False,26.72188143148395,deepar,26.72188143148395,deepar,26.540654141948334,ensemble,26.72188143148395,deepar,26.72188143148395,deepar,17.571411492255667,prophet,26.72188143148395,deepar,26.540654141948334,ensemble,33.22141171504187,stacking
Sonora,mujeres,False,25.11490184857538,deepar,25.11490184857538,deepar,16.33984875481093,stacking,25.11490184857538,deepar,25.11490184857538,deepar,19.514188795185746,prophet,25.11490184857538,deepar,17.01060904730286,ensemble,16.33984875481093,stacking
Sonora,general,False,15.20117819369421,deepar,15.20117819369421,deepar,16.230867617987933,stacking,15.20117819369421,deepar,15.20117819369421,deepar,20.721534321310838,prophet,15.20117819369421,deepar,15.804864166713767,ensemble,16.230867617987933,stacking
Tabasco,hombres,False,75.24240856441193,deepar,75.24240856441193,deepar,77.5236488431705,stacking,75.24240856441193,deepar,75.24240856441193,deepar,73.23283789813162,prophet,75.24240856441193,deepar,84.93273087832897,ensemble,77.5236488431705,stacking
Tabasco,mujeres,False,43.730018460376684,deepar,43.730018460376684,deepar,42.827988098527854,ensemble,43.730018460376684,deepar,43.730018460376684,deepar,56.63943333786794,prophet,43.730018460376684,deepar,42.827988098527854,ensemble,59.11298929227584,stacking
Tabasco,general,False,42.79023436970005,deepar,42.79023436970005,deepar,54.450660086226534,stacking,42.79023436970005,deepar,42.79023436970005,deepar,57.138381152566474,prophet,42.79023436970005,deepar,45.19772707587161,ensemble,54.450660086226534,stacking
Tamaulipas,hombres,False,41.95412287402497,deepar,41.95412287402497,deepar,33.31602684491045,prophet,41.95412287402497,deepar,41.95412287402497,deepar,33.31602684491045,prophet,41.95412287402497,deepar,40.384570623694884,ensemble,38.752967952286745,stacking
Tamaulipas,mujeres,False,19.7086976393472,deepar,19.7086976393472,deepar,22.43603669169387,ensemble,19.7086976393472,deepar,19.7086976393472,deepar,17.48114615949394,prophet,19.7086976393472,deepar,22.43603669169387,ensemble,27.48885741094917,stacking
Tamaulipas,general,False,30.004450032402975,deepar,30.004450032402975,deepar,26.792379130529433,ensemble,30.004450032402975,deepar,30.004450032402975,deepar,21.83062321551617,prophet,30.004450032402975,deepar,26.792379130529433,ensemble,31.09915536126505,stacking
