ds,y,yhat,yhat_lower,yhat_upper
2013-12-30,4.0,22.72818282832045,10.904963821708156,33.90682973824636
2014-01-06,25.0,26.359903393246746,15.19370499669858,37.46282833328922
2014-01-13,33.0,30.020664012618266,19.605452377371524,40.97129526448411
2014-01-20,31.0,31.80887114527559,20.875687473751057,42.48834657033799
2014-01-27,36.0,31.798388693627878,20.359174821488796,43.524330156910324
2014-02-03,28.0,31.69896317257556,20.522432561665696,42.89094368018357
2014-02-10,36.0,32.99457075058503,21.49259833644367,43.8841445993706
2014-02-17,31.0,35.471229392220906,23.95873702135418,47.345163015117556
2014-02-24,26.0,37.50086988575163,25.77975882181469,48.608816300164335
2014-03-03,44.0,37.609477081415264,26.33329144775796,48.76532479409978
2014-03-10,37.0,35.7167255492189,24.89667487752417,47.64146020000832
2014-03-17,35.0,33.01241020810735,22.30088664709578,43.75064254345614
2014-03-24,40.0,30.865733724914772,19.279981535547968,41.665836217228225
2014-03-31,35.0,29.903106368758777,18.149742872331853,40.54349908602906
2014-04-07,34.0,29.91847436736634,18.575244127388114,40.96917435981129
2014-04-14,33.0,30.38057385429988,19.33104679336949,41.892655360600706
2014-04-21,34.0,30.923348738455232,19.693933822520307,41.557526532371625
2014-04-28,36.0,31.475964067574626,20.128928542813302,42.25280347583757
2014-05-05,28.0,32.09536590721677,20.90941475062867,43.124119103585905
2014-05-12,37.0,32.73485627874735,20.84594675656313,43.758136429135995
2014-05-19,32.0,33.161002398039464,22.148702195651754,44.21941577045635
2014-05-26,44.0,33.13088719969402,21.07552869874891,43.96023305395153
2014-06-02,32.0,32.72601999024656,21.952220587530917,43.1596963505001
2014-06-09,37.0,32.48142949124051,21.365622716338024,43.053349206582325
2014-06-16,34.0,32.992190633617994,21.302671988138748,44.298339930539946
2014-06-23,32.0,34.20894163477598,23.540772662807715,46.25072469532135
2014-06-30,34.0,35.17942277135836,23.799598779171998,46.16811156385156
2014-07-07,37.0,34.77818596495446,23.356576115566696,46.21235147525901
2014-07-14,20.0,32.93539475543919,22.04258290625494,44.32027232770477
2014-07-21,32.0,31.078952371758078,19.77448415466047,43.04852519876276
