Padecimiento,Entidad,MAPE_CV,RMSE_CV,MAE_CV,MDAPE_CV,MAPE_Train,RMSE_Train,MAE_Train,Brecha_CV_Train,N_Outliers,Semaforo
Parkinson,Sonora,72.91,2.56,2.0,0.4548,62.46,2.41,1.87,10.45,0,Insuficiente
Parkinson,Tabasco,73.0,2.3,1.8,0.5817,57.23,2.02,1.51,15.77,0,Insuficiente
Parkinson,Tamaulipas,65.06,3.4,2.69,0.3944,68.28,3.01,2.39,-3.22,0,Insuficiente
Parkinson,Tlaxcala,51.85,1.43,1.13,0.7001,38.52,1.27,0.96,13.33,0,Insuficiente
Parkinson,Veracruz,46.24,4.12,3.23,0.2162,49.03,3.57,2.9,-2.79,0,Requiere_mejora
Parkinson,Yucatán,66.93,2.08,1.56,0.5948,56.63,1.86,1.4,10.3,0,Insuficiente
Parkinson,Zacatecas,53.83,1.2,0.92,inf,39.48,1.05,0.78,14.35,0,Insuficiente
Alzheimer,Aguascalientes,60.26,0.75,0.6,inf,60.57,0.67,0.56,-0.31,0,Insuficiente
Alzheimer,Baja California,48.21,1.33,1.09,0.4669,40.26,1.2,0.98,7.95,0,Requiere_mejora
Alzheimer,Baja California Sur,74.74,0.55,0.38,inf,74.02,0.52,0.37,0.72,0,Insuficiente
Alzheimer,Campeche,56.42,0.79,0.65,inf,54.78,0.75,0.61,1.65,0,Insuficiente
Alzheimer,Chiapas,40.13,1.03,0.82,inf,34.36,0.94,0.74,5.77,0,Requiere_mejora
Alzheimer,Chihuahua,47.36,1.26,1.0,0.2845,40.0,1.12,0.93,7.37,0,Requiere_mejora
Alzheimer,Ciudad de México,50.13,1.37,1.09,0.425,43.11,1.2,0.99,7.02,0,Insuficiente
Alzheimer,Coahuila,51.34,1.34,1.08,0.7238,39.35,1.19,1.0,11.99,0,Insuficiente
Alzheimer,Colima,46.49,1.14,0.93,inf,40.67,0.98,0.79,5.82,0,Requiere_mejora
Alzheimer,Durango,41.49,1.09,0.89,0.6728,35.57,0.98,0.79,5.92,0,Requiere_mejora
Alzheimer,Guanajuato,44.1,1.11,0.89,0.6355,34.77,0.99,0.8,9.32,0,Requiere_mejora
Alzheimer,Guerrero,56.78,0.94,0.75,inf,47.33,0.88,0.72,9.45,0,Insuficiente
Alzheimer,Hidalgo,42.63,0.89,0.74,inf,44.67,0.8,0.66,-2.04,0,Requiere_mejora
Alzheimer,Jalisco,47.16,1.2,0.93,0.2456,39.97,1.07,0.89,7.19,0,Requiere_mejora
Alzheimer,Michoacán,43.26,1.22,0.99,0.533,36.11,1.1,0.9,7.16,0,Requiere_mejora
Alzheimer,Morelos,43.5,1.04,0.84,0.7774,36.91,0.97,0.78,6.58,0,Requiere_mejora
Alzheimer,México,47.6,1.36,1.12,0.4606,42.21,1.21,0.98,5.39,0,Requiere_mejora
Alzheimer,Nayarit,46.56,1.2,0.97,0.701,37.36,1.06,0.86,9.2,0,Requiere_mejora
Alzheimer,Nuevo León,49.7,1.27,1.05,0.395,41.7,1.16,0.96,8.01,0,Requiere_mejora
Alzheimer,Oaxaca,46.34,1.27,1.03,0.6174,38.58,1.11,0.91,7.76,0,Requiere_mejora
Alzheimer,Puebla,43.57,1.04,0.85,inf,41.33,0.95,0.75,2.23,0,Requiere_mejora
Alzheimer,Querétaro,61.56,0.71,0.57,inf,67.82,0.63,0.49,-6.26,0,Insuficiente
Alzheimer,Quintana Roo,62.43,0.67,0.54,inf,61.59,0.64,0.53,0.84,0,Insuficiente
Alzheimer,San Luis Potosí,38.69,1.01,0.84,0.7079,33.48,0.91,0.73,5.21,0,Requiere_mejora
Alzheimer,Sinaloa,43.29,1.36,1.1,0.3352,40.69,1.22,1.02,2.6,0,Requiere_mejora
Alzheimer,Sonora,49.16,1.24,1.02,0.4808,39.44,1.16,0.95,9.71,0,Requiere_mejora
Alzheimer,Tabasco,40.92,1.17,0.95,0.8186,38.92,0.96,0.78,2.0,0,Requiere_mejora
Alzheimer,Tamaulipas,51.1,1.42,1.18,0.4462,42.8,1.25,1.04,8.3,0,Insuficiente
Alzheimer,Tlaxcala,63.27,0.59,0.46,inf,73.46,0.54,0.39,-10.19,0,Insuficiente
Alzheimer,Veracruz,48.84,1.37,1.07,0.3005,40.3,1.22,1.02,8.54,0,Requiere_mejora
Alzheimer,Yucatán,47.14,0.97,0.77,inf,37.41,0.91,0.73,9.72,0,Requiere_mejora
Alzheimer,Zacatecas,67.56,0.59,0.48,inf,73.54,0.55,0.41,-5.98,0,Insuficiente
