Padecimiento,Estado,Sexo,MAPE_CV,RMSE_CV,MAE_CV,MAPE_Train,N_Outliers
Parkinson,Coahuila,Hombres,63.64,2.07,1.57,51.72,0
Parkinson,Coahuila,Mujeres,63.25,1.92,1.45,48.12,0
Parkinson,Colima,Hombres,61.63,1.74,1.36,49.19,0
Parkinson,Colima,Mujeres,61.89,1.68,1.29,46.29,0
Parkinson,Durango,Hombres,78.13,2.17,1.76,62.85,0
Parkinson,Durango,Mujeres,70.34,2.02,1.64,55.87,0
Parkinson,Guanajuato,Hombres,56.11,1.59,1.28,45.32,0
Parkinson,Guanajuato,Mujeres,51.49,1.46,1.15,42.03,0
Parkinson,Guerrero,Hombres,53.22,1.29,1.0,39.2,0
Parkinson,Guerrero,Mujeres,52.63,1.42,1.1,39.81,0
Parkinson,Hidalgo,Hombres,45.91,1.26,0.99,39.26,0
Parkinson,Hidalgo,Mujeres,49.07,1.21,0.89,38.11,0
Parkinson,Jalisco,Hombres,38.16,2.32,1.86,40.31,0
Parkinson,Jalisco,Mujeres,50.44,2.56,2.08,46.58,0
Parkinson,Michoacán,Hombres,68.18,2.06,1.65,62.02,0
Parkinson,Michoacán,Mujeres,64.01,1.95,1.56,60.81,0
Parkinson,Morelos,Hombres,64.48,2.07,1.7,56.71,0
Parkinson,Morelos,Mujeres,61.8,1.92,1.52,55.99,0
Parkinson,México,Hombres,67.18,2.6,2.17,56.17,0
Parkinson,México,Mujeres,70.44,2.45,2.01,62.96,0
Parkinson,Nayarit,Hombres,43.38,1.12,0.88,35.57,0
Parkinson,Nayarit,Mujeres,49.26,1.03,0.82,41.38,0
Parkinson,Nuevo León,Hombres,60.68,2.0,1.58,56.87,0
Parkinson,Nuevo León,Mujeres,56.98,1.78,1.42,54.38,0
Parkinson,Oaxaca,Hombres,63.65,1.78,1.38,53.52,0
Parkinson,Oaxaca,Mujeres,56.0,1.59,1.25,44.92,0
Parkinson,Puebla,Hombres,80.07,2.27,1.81,60.14,0
Parkinson,Puebla,Mujeres,74.31,2.2,1.71,57.47,0
Parkinson,Querétaro,Hombres,44.93,0.83,0.68,48.68,0
Parkinson,Querétaro,Mujeres,58.4,0.78,0.62,61.08,0
Parkinson,Quintana Roo,Hombres,53.5,0.93,0.72,44.4,0
