ds,y,yhat,yhat_lower,yhat_upper
2013-12-30,11.0,69.1868993269365,32.75309292419054,105.40428660709561
2014-01-06,88.0,89.02527822024719,57.470780029751914,124.74223583259796
2014-01-13,120.0,103.69649926672437,67.41298493902244,136.74384838722304
2014-01-20,111.0,105.91273180233927,70.68736208452802,140.89815680834545
2014-01-27,138.0,100.85526257702055,67.18738956901011,133.54669792016662
2014-02-03,119.0,99.13014057313444,64.21979403969912,134.77889440781348
2014-02-10,118.0,105.3544303818162,69.56512837823661,139.80992478537053
2014-02-17,118.0,114.46298552121826,81.28989590989131,149.21771676994186
2014-02-24,104.0,118.34594658575614,84.31935324639775,150.84867464211112
2014-03-03,116.0,114.38586894264502,81.58723450709515,148.685649426335
2014-03-10,125.0,106.92746537595114,75.1946185547679,139.88877990767426
2014-03-17,103.0,101.70964865925886,67.14465481354235,136.31375023768942
2014-03-24,131.0,100.5260054065394,65.90490944626526,133.6493479525953
2014-03-31,116.0,101.35620597524061,64.9464042924385,134.40051179055328
2014-04-07,103.0,102.07281349207483,69.08457608244245,136.0978126535251
2014-04-14,79.0,102.63544954922757,68.8483104387336,134.49615022818492
2014-04-21,136.0,104.04459047798804,69.26461291382573,139.46284487927076
2014-04-28,128.0,106.6054146113656,71.82992663556054,140.3043545827469
2014-05-05,122.0,109.8545810146086,75.81518903338109,141.75233847773865
2014-05-12,89.0,113.3541044160113,79.45513211318021,145.88182546057513
2014-05-19,105.0,116.56017438600666,83.93390426946206,150.82088308159308
2014-05-26,119.0,118.20409212958003,84.64199813178804,153.80285180675685
2014-06-02,134.0,117.04583427263269,82.34338656921315,151.40861447901227
2014-06-09,118.0,113.78552594471776,78.36395714368628,145.91472575816672
2014-06-16,130.0,111.33426649172652,77.12457189316741,145.06446664584521
2014-06-23,120.0,112.0077258303713,79.45686553909596,145.7083119217461
2014-06-30,113.0,114.51562471732834,82.42174227046578,149.28640136281837
2014-07-07,119.0,114.94945655082961,80.31848063926118,149.046299774987
2014-07-14,106.0,111.50640537360597,78.77892941941253,144.5562212254462
2014-07-21,103.0,107.48211502303747,73.7252092088925,143.05084204756332
2014-07-28,112.0,108.2197789313183,72.42345159390476,141.24895083049083
2014-08-04,119.0,114.80448661602084,80.5396682043823,148.3856899311959
2014-08-11,104.0,121.8791263693495,85.59123987613539,155.29458879793222
2014-08-18,127.0,122.7772339542849,86.8521812196515,154.3154405329486
2014-08-25,112.0,116.59640191819369,82.4024437461949,149.52674413539614
2014-09-01,74.0,109.19728770594166,75.52626429705977,144.9058823528959
2014-09-08,146.0,106.97501199157111,73.78171025889516,138.4816446454345
2014-09-15,73.0,110.56943996496909,75.54556294223843,142.8057809884348
2014-09-22,114.0,115.42602419479394,78.9244543679718,149.59429751975975
2014-09-29,85.0,117.71156029993725,81.6812970950423,152.92748040615336
2014-10-06,112.0,117.97843720797525,85.49397281807886,149.78144490056027
2014-10-13,80.0,118.57703540905112,84.52350570664107,153.1741384846152
2014-10-20,91.0,119.19928862002342,87.02580196370813,154.04118173625886
2014-10-27,82.0,117.13824340023132,84.09967280172424,153.65135679173113
2014-11-03,84.0,112.01921476404581,79.63916319466335,145.2606295622758
2014-11-10,99.0,108.00645992061249,75.64842857015486,141.14942842943725
2014-11-17,62.0,109.19825205462958,75.52552948806185,144.62089051327158
2014-11-24,83.0,113.23976138584844,79.43029150991094,146.05024032763774
2014-12-01,74.0,111.99412851054115,77.55657055817535,145.3854351795484
2014-12-08,62.0,100.4137597703875,68.72138226742929,134.54115482643252
2014-12-15,61.0,84.12787963073478,50.60296669592531,114.93375813162798
2014-12-22,44.0,76.07986034530826,41.81487892657855,109.07300000335654
2014-12-29,110.0,84.31890430207676,48.88828828882258,119.95246666328727
2015-01-05,92.0,103.59315732759588,68.80837215509334,140.14183093782637
2015-01-12,54.0,120.0659159221637,85.18200248427733,155.2978617392637
2015-01-19,83.0,124.45781944851372,89.4373458650753,158.06292706940084
2015-01-26,53.0,119.91564071595465,85.66423316280178,156.20439165424432
2015-02-02,79.0,116.96779851637582,83.52030511847343,151.54430299130814
2015-02-09,82.0,121.90639148400007,88.28645131343768,154.91018856821358
2015-02-16,72.0,131.13946623768885,95.88688342952707,165.2025485348754
2015-02-23,80.0,136.37885105564638,103.52150419199573,168.16124581911416
2015-03-02,86.0,133.65288409189915,98.58096528327911,166.0960515897287
2015-03-09,66.0,126.34498226456424,89.36865505762431,161.6968433326467
2015-03-16,78.0,120.44880026749,85.4675503859301,154.11582087933132
2015-03-23,106.0,118.62553677998524,83.84595103363966,151.79794271849454
2015-03-30,121.0,119.29795268039146,85.16391617118475,153.48776150339225
2015-04-06,147.0,120.09918535301563,86.12299128903597,150.48760970539524
2015-04-13,147.0,120.61742169806433,87.86310450155827,155.82326379552927
2015-04-20,136.0,121.82081721924396,88.14129333066455,155.41749987153236
2015-04-27,157.0,124.19938842416494,92.32876280239631,157.7515714754862
2015-05-04,136.0,127.36455365139166,92.4271790311831,162.87836796678056
2015-05-11,152.0,130.84557733016894,94.76683695742415,164.99540658015724
2015-05-18,146.0,134.17449285811017,98.06457173217055,167.07795243886036
2015-05-25,159.0,136.2134575161519,102.03635722027995,171.75242995933897
2015-06-01,126.0,135.58159170804976,99.52344064828193,169.09630832589758
2015-06-08,148.0,132.52520303861942,102.14166710011591,167.30527998602722
2015-06-15,149.0,129.69082068968288,93.99795033444015,164.0249868903715
2015-06-22,126.0,129.77965254597638,96.12958209758472,163.0570768217217
2015-06-29,134.0,132.22244808742698,97.87175041908905,169.83633271837434
2015-07-06,162.0,133.2867261573043,100.57318937570247,166.30019802808204
2015-07-13,129.0,130.4382152114463,96.81553766965989,165.22778266315228
2015-07-20,144.0,126.1015905640258,87.71365828628798,159.9412795603557
2015-07-27,153.0,125.71519043221913,90.5822327110829,157.77856879308214
2015-08-03,167.0,131.49305937718066,96.80468373617205,163.75417148637493
2015-08-10,168.0,139.03743578970236,105.88415393673425,172.74007096983593
2015-08-17,157.0,141.33402209899722,107.20494812691862,175.2321673211723
2015-08-24,180.0,136.12942054184683,102.37723216458684,168.63939657042164
2015-08-31,163.0,128.38614238336606,95.33094843185363,162.35345896211803
2015-09-07,106.0,124.98627916005975,90.2797819927758,161.860603807752
2015-09-14,141.0,127.79121055058337,95.81234949005452,163.39576379561169
2015-09-21,158.0,132.80593772712345,97.94255799310616,168.3983269999584
2015-09-28,160.0,135.63550382573584,103.4806365480618,167.78087401103738
2015-10-05,136.0,136.07283079994392,100.10477042234638,169.78697738813537
2015-10-12,137.0,136.52316532146264,101.4035198437637,171.28000846035965
2015-10-19,145.0,137.3215297234459,104.37336094379712,170.8733437563376
