padecimiento,entidad,sexo,anio_eval,n_semanas_real,total_real,smape_real_prophet,mae_real_prophet,mase_real_prophet,cv_smape_prophet,smape_real_deepar,mae_real_deepar,mase_real_deepar,cv_smape_deepar,smape_real_ensemble,mae_real_ensemble,mase_real_ensemble,cv_smape_ensemble,smape_real_stacking,mae_real_stacking,mase_real_stacking,cv_smape_stacking,smape_real_nbglm,mae_real_nbglm,mase_real_nbglm,cv_smape_nbglm,motor_productivo,criterio_seleccion,smape_ganador,justificacion
Dengue,Aguascalientes,general,2026,32,55.0,200.0,1.7255423300462367,0.08634457320012444,185.83334897273284,179.49456673336203,1.1024128152720614,0.05516373743347297,109.60971121653304,130.76259730922405,2.234375,0.11180609851446442,197.8088169752323,130.76259730922405,2.234375,0.11180609851446442,199.55727612777395,158.55996840998623,0.5309488839978331,0.026568200606615574,194.97794610196073,NBGLM,smape_real,158.55996840998623,NBGLM: menor SMAPE real=158.56% sobre 32 sem
Dengue,Aguascalientes,hombres,2026,32,24.0,199.82813351503907,0.7561801839257876,0.08289745079008291,157.2321783542833,180.63629018889696,0.5750590655641956,0.06304176121292998,79.54507935933471,148.63548927867697,1.296875,0.1421719767043508,197.8854209931308,148.63548927867697,1.296875,0.1421719767043508,199.636475467609,185.35799155326058,20.27028248534635,2.22216183463886,198.5158836242873,DeepAR,smape_real,180.63629018889696,DeepAR: menor SMAPE real=180.64% sobre 32 sem
Dengue,Aguascalientes,mujeres,2026,32,31.0,200.0,0.9771232880151637,0.08487498701543225,158.55807794117266,181.10263851855618,0.95811177934586,0.08322360732645907,109.76355138252174,133.50889006690835,1.0625,0.09229098805646037,197.72659733228164,133.50889006690835,1.0625,0.09229098805646037,199.58593596792207,168.66463612786887,0.4605265827804104,0.04000230903630058,196.94365295540948,NBGLM,smape_real,168.66463612786887,NBGLM: menor SMAPE real=168.66% sobre 32 sem
Dengue,Baja California,general,2026,32,6.0,198.98860965315157,0.19140166722180899,0.2364808243667138,175.10887018664363,199.13344858898103,0.19799282997318546,0.244624345912816,109.60971121653304,200.0,0.28125,0.3474903474903475,187.27072847860308,200.0,0.28125,0.3474903474903475,193.7972259177366,196.9187315615351,0.20885768377634967,0.25804810350745905,187.04006395170225,Prophet,mae_real_casi_cero,,"Prophet: serie casi-cero (total 6 casos), menor MAE real"
Dengue,Baja California,hombres,2026,32,2.0,199.6140260314126,0.06878063435478154,0.046829368071340624,191.646475967384,199.98341536480436,0.06325676484094528,0.04306843563638828,79.54507935933471,200.0,0.109375,0.07446808510638298,192.53013744134995,200.0,0.109375,0.07446808510638298,193.21394281955617,199.14718470398824,0.06674407537733093,0.045442774724991274,198.99858358340475,DeepAR,mae_real_casi_cero,,"DeepAR: serie casi-cero (total 2 casos), menor MAE real"
Dengue,Baja California,mujeres,2026,32,4.0,198.50578249534163,0.14533137792935513,0.0862820796612127,186.9197740801393,199.98139806175655,0.12538855328112247,0.07444218376615806,109.76355138252174,200.0,0.171875,0.10204081632653061,185.31875727251887,200.0,0.171875,0.10204081632653061,190.86258009462745,199.06249419088246,0.159283523977287,0.09456535746332438,197.3279694158802,DeepAR,mae_real_casi_cero,,"DeepAR: serie casi-cero (total 4 casos), menor MAE real"
Dengue,Baja California Sur,general,2026,32,215.0,89.3084333102466,4.480605393977324,0.28179908138222165,154.5040916050135,76.52700403802542,8.072967854729704,0.5077338273414909,109.60971121653304,105.10705486532548,22.77946467573016,1.4326707343226517,165.49664662581628,105.46296316560517,24.546875,1.5438286163522013,172.89428798878404,74.84396075817462,9.407989752209376,0.5916974686924136,111.56763886986728,DeepAR,smape_real,76.52700403802542,DeepAR: menor SMAPE real=76.53% sobre 32 sem
Dengue,Baja California Sur,hombres,2026,32,96.0,85.03757701120786,1.9699485546973865,0.24461914532524784,164.086229256472,97.79869222405507,7.048936882879026,0.8753045411413615,79.54507935933471,112.71877864732241,11.8125,1.4668218859138533,169.87716788973947,112.71877864732241,11.8125,1.4668218859138533,176.8647517474977,74.68426423326106,4.110976605877084,0.5104821551729402,121.24926290065515,NBGLM,smape_real,74.68426423326106,NBGLM: menor SMAPE real=74.68% sobre 32 sem
Dengue,Baja California Sur,mujeres,2026,32,113.0,89.09365600951975,2.522993155458538,0.3060492076371236,164.48744964133857,91.70798371873357,2.0601444473807895,0.2499037995306492,109.76355138252174,108.7243006915879,13.28125,1.6110689916603487,162.69200553300698,108.7243006915879,13.28125,1.6110689916603487,168.54437124588037,79.1562812224054,5.074600960650059,0.6155694872661178,114.74649115085302,NBGLM,smape_real,79.1562812224054,NBGLM: menor SMAPE real=79.16% sobre 32 sem
Dengue,Campeche,general,2026,32,27.0,184.47302637092875,0.8453279163209256,0.05383182750700422,123.25545637342935,191.8267597638673,0.8066228153164969,0.0513670250549809,109.60971121653304,177.12134993473006,20.598502050673247,1.3117454042219778,192.5936095855003,171.92067862633542,1.1498353277703068,0.07322334425601953,177.78103230834498,118.50845740884877,0.8576982749508867,0.05461959163866343,147.97254186218254,NBGLM,smape_real,118.50845740884877,NBGLM: menor SMAPE real=118.51% sobre 32 sem
Dengue,Campeche,hombres,2026,32,13.0,194.18232586900376,0.41043198533876735,0.05158610970479401,147.34856716966914,185.07251701277173,0.538780005147037,0.06771783254008322,79.54507935933471,184.17918745491306,9.53034156143918,1.197843401280651,191.47239607838335,180.70835525672604,8.075087140455349,1.014936325587475,189.6908701459495,156.69974714685273,0.7084654546651266,0.08904514748344089,169.77223331331425,NBGLM,smape_real,156.69974714685273,NBGLM: menor SMAPE real=156.70% sobre 32 sem
Dengue,Campeche,mujeres,2026,32,14.0,197.22412314743883,0.44107173549130646,0.047667327037223255,157.15222643282456,199.790051427191,0.43833875852331217,0.0473719698505437,109.76355138252174,177.91683839423115,11.245019745651913,1.215267247081598,193.93403040025945,193.7672834718205,4.285327799225855,0.46312222078766413,188.20537339115975,148.91483680476773,0.5552158067284312,0.06000305915335966,173.70693036977116,NBGLM,smape_real,148.91483680476773,NBGLM: menor SMAPE real=148.91% sobre 32 sem
Dengue,Chiapas,general,2026,32,211.0,75.21371350770966,4.098358669021673,0.09653844490886532,66.610252977932,75.76674947089774,7.376788931345082,0.17376315480533133,109.60971121653304,150.72506861990163,34.66922552768253,0.8166471968243216,128.1619574474296,181.12532746660457,133.28125,3.139492086860508,186.04232889139655,99.47246716290033,26.46061990700224,0.623290273849151,130.22967617718626,Prophet,smape_real,75.21371350770966,Prophet: menor SMAPE real=75.21% sobre 32 sem
Dengue,Chiapas,hombres,2026,32,99.0,74.91741109212454,1.9084206190079078,0.06581469965325257,82.6747998505866,76.64105206664335,2.07422008695318,0.07153253883231142,79.54507935933471,162.0902105632453,24.051359354990616,0.8294465991590686,129.025548034421,179.03195920305683,63.375,2.185580342709344,186.44609385508076,102.52596424352885,13.652372216275332,0.47082219088351185,131.90308005295918,Prophet,smape_real,74.91741109212454,Prophet: menor SMAPE real=74.92% sobre 32 sem
Dengue,Chiapas,mujeres,2026,32,112.0,110.90418256452676,2.6915940288907687,0.08526134322362364,90.20708978859948,113.0306585968643,4.869042529734196,0.15423615219906384,109.76355138252174,162.8861882092564,25.49252312012145,0.8075239950939284,142.9387914444607,182.04769069936617,69.953125,2.2158978420114828,186.1307414343702,116.9062686313471,13.354137394533367,0.4230176169323577,133.27089003386962,Prophet,smape_real,110.90418256452676,Prophet: menor SMAPE real=110.90% sobre 32 sem
Dengue,Chihuahua,general,2026,32,1.0,199.24906222057587,0.11278374294257223,0.05299676614041574,194.5446671655584,199.96624677467412,0.033563909971444275,0.015771587651779984,109.60971121653304,200.0,0.125,0.05873715124816447,196.75719233889376,200.0,0.125,0.05873715124816447,197.01257989010193,199.2269710228766,0.04090431774394512,0.01922082478423266,192.256373806382,DeepAR,mae_real_casi_cero,,"DeepAR: serie casi-cero (total 1 casos), menor MAE real"
Dengue,Chihuahua,hombres,2026,32,0.0,200.0,0.03174967571691957,0.03386632076471421,199.64102471158975,200.0,0.000576301963589675,0.0006147220944956534,79.54507935933471,200.0,0.046875,0.05,196.99598399190023,200.0,0.01795065592987011,0.019147366325194783,196.686324272832,200.0,0.004915383697777253,0.005243075944295737,196.02110230921048,DeepAR,mae_real_casi_cero,,"DeepAR: serie casi-cero (total 0 casos), menor MAE real"
