padecimiento,sexo,rmse,seasonality_mode,changepoint_prior_scale,seasonality_prior_scale,nivel,archivo_modelo,Entidad
Alzheimer,incrementos_total,1.005839407116924,multiplicative,0.01,1.0,regional,Prophet_Alzheimer_Guanajuato_general_20260218.pkl,Guanajuato
Alzheimer,incrementos_hombres,0.5349540306713031,multiplicative,0.01,5.0,regional,Prophet_Alzheimer_Guerrero_hombres_20260218.pkl,Guerrero
Alzheimer,incrementos_mujeres,0.6754450518353892,multiplicative,0.1,0.1,regional,Prophet_Alzheimer_Guerrero_mujeres_20260218.pkl,Guerrero
Alzheimer,incrementos_total,0.9183273159433831,multiplicative,0.01,0.1,regional,Prophet_Alzheimer_Guerrero_general_20260218.pkl,Guerrero
Alzheimer,incrementos_hombres,0.47183575106593934,multiplicative,0.01,0.1,regional,Prophet_Alzheimer_Hidalgo_hombres_20260218.pkl,Hidalgo
Alzheimer,incrementos_mujeres,0.6214676802753674,multiplicative,0.01,0.1,regional,Prophet_Alzheimer_Hidalgo_mujeres_20260218.pkl,Hidalgo
Alzheimer,incrementos_total,0.7949581172238499,multiplicative,0.01,0.1,regional,Prophet_Alzheimer_Hidalgo_general_20260218.pkl,Hidalgo
Alzheimer,incrementos_hombres,1.5064332076206306,additive,0.01,5.0,regional,Prophet_Alzheimer_Jalisco_hombres_20260218.pkl,Jalisco
Alzheimer,incrementos_mujeres,2.003935024334211,additive,0.01,5.0,regional,Prophet_Alzheimer_Jalisco_mujeres_20260218.pkl,Jalisco
Alzheimer,incrementos_total,2.9348394703563003,multiplicative,0.01,0.1,regional,Prophet_Alzheimer_Jalisco_general_20260218.pkl,Jalisco
Alzheimer,incrementos_hombres,0.7757958395805731,multiplicative,0.01,1.0,regional,Prophet_Alzheimer_Michoacan_hombres_20260218.pkl,Michoacán
Alzheimer,incrementos_mujeres,1.1366522826154832,multiplicative,0.01,0.1,regional,Prophet_Alzheimer_Michoacan_mujeres_20260218.pkl,Michoacán
Alzheimer,incrementos_total,1.502994450447457,additive,0.01,0.1,regional,Prophet_Alzheimer_Michoacan_general_20260218.pkl,Michoacán
Alzheimer,incrementos_hombres,0.5926428227063771,multiplicative,0.01,5.0,regional,Prophet_Alzheimer_Morelos_hombres_20260218.pkl,Morelos
